areaweight,coefficientvariance,comments,concentration,concentrationunits,controlvalue,dilution,endpoint,errors,fieldreplicate,lab,labrep,latitude,longitude,lookup_error,matrix,mean,n,pctcontrol,qacode,result,units,row,samplecollectdate,sampletypecode,shape,species,stationid,stationwaterdepth,stationwaterdepthunits,stddev,stratum,tmp_row,toxbatch,treatment,variance,tstat,pvalue,sigeffect,sqocategory,toxicity_errors
0.0,13.7415092603,The pH values are lower than 7.7 pH units.,0.0,Milligrams per liter,,-88,4 day survival percent,"{ ""column"": ""qacode"", ""error_type"": ""Lookup Fail"", ""error"": ""The data inserted ('AJ') does not match the lookup list <a href='http://checker.sccwrp.org/checker/scraper?action=help&layer=lu_toxtestacceptability' target='_blank'>lu_toxtestacceptability</a> for the column"" }",1,Los Angeles County Sanitation Districts,1,33.69703908,-117.92090344,"{ ""column"": ""qacode"", ""error_type"": ""Lookup Fail"", ""error"": ""The data inserted ('AJ') does not match the lookup list <a href='http://checker.sccwrp.org/checker/scraper?action=help&layer=lu_toxtestacceptability' target='_blank'>lu_toxtestacceptability</a> for the column"" }",Reference Toxicant,90.8333333333,24,,AJ,90,%,0,2013-08-09,RFNH3,0101000020110F0000BF0E9CDD9D0969C1500C02FB706D4E41,Eohaustorius estuarius,0000,1.0,M,12.4818709114,None,0,eohRT0809,None,155.797101449,,,NSC,Nontoxic,
0.0,13.7415092603,The pH values are lower than 7.7 pH units.,0.0,Milligrams per liter,,-88,4 day survival percent,"{ ""column"": ""qacode"", ""error_type"": ""Lookup Fail"", ""error"": ""The data inserted ('AJ') does not match the lookup list <a href='http://checker.sccwrp.org/checker/scraper?action=help&layer=lu_toxtestacceptability' target='_blank'>lu_toxtestacceptability</a> for the column"" }",1,Los Angeles County Sanitation Districts,2,33.69703908,-117.92090344,"{ ""column"": ""qacode"", ""error_type"": ""Lookup Fail"", ""error"": ""The data inserted ('AJ') does not match the lookup list <a href='http://checker.sccwrp.org/checker/scraper?action=help&layer=lu_toxtestacceptability' target='_blank'>lu_toxtestacceptability</a> for the column"" }",Reference Toxicant,90.8333333333,24,,AJ,100,%,1,2013-08-09,RFNH3,0101000020110F0000BF0E9CDD9D0969C1500C02FB706D4E41,Eohaustorius estuarius,0000,1.0,M,12.4818709114,None,1,eohRT0809,None,155.797101449,,,NSC,Nontoxic,
0.0,13.7415092603,The pH values are lower than 7.7 pH units.,0.0,Milligrams per liter,,-88,4 day survival percent,"{ ""column"": ""qacode"", ""error_type"": ""Lookup Fail"", ""error"": ""The data inserted ('AJ') does not match the lookup list <a href='http://checker.sccwrp.org/checker/scraper?action=help&layer=lu_toxtestacceptability' target='_blank'>lu_toxtestacceptability</a> for the column"" }",1,Los Angeles County Sanitation Districts,3,33.69703908,-117.92090344,"{ ""column"": ""qacode"", ""error_type"": ""Lookup Fail"", ""error"": ""The data inserted ('AJ') does not match the lookup list <a href='http://checker.sccwrp.org/checker/scraper?action=help&layer=lu_toxtestacceptability' target='_blank'>lu_toxtestacceptability</a> for the column"" }",Reference Toxicant,90.8333333333,24,,AJ,100,%,2,2013-08-09,RFNH3,0101000020110F0000BF0E9CDD9D0969C1500C02FB706D4E41,Eohaustorius estuarius,0000,1.0,M,12.4818709114,None,2,eohRT0809,None,155.797101449,,,NSC,Nontoxic,
0.0,13.7415092603,The pH values are lower than 7.7 pH units.,0.0,Milligrams per liter,,-88,4 day survival percent,"{ ""column"": ""qacode"", ""error_type"": ""Lookup Fail"", ""error"": ""The data inserted ('AJ') does not match the lookup list <a href='http://checker.sccwrp.org/checker/scraper?action=help&layer=lu_toxtestacceptability' target='_blank'>lu_toxtestacceptability</a> for the column"" }",1,Los Angeles County Sanitation Districts,4,33.69703908,-117.92090344,"{ ""column"": ""qacode"", ""error_type"": ""Lookup Fail"", ""error"": ""The data inserted ('AJ') does not match the lookup list <a href='http://checker.sccwrp.org/checker/scraper?action=help&layer=lu_toxtestacceptability' target='_blank'>lu_toxtestacceptability</a> for the column"" }",Reference Toxicant,90.8333333333,24,,AJ,90,%,3,2013-08-09,RFNH3,0101000020110F0000BF0E9CDD9D0969C1500C02FB706D4E41,Eohaustorius estuarius,0000,1.0,M,12.4818709114,None,3,eohRT0809,None,155.797101449,,,NSC,Nontoxic,
0.0,13.7415092603,The pH values are lower than 7.7 pH units.,15.6,Milligrams per liter,,-88,4 day survival percent,"{ ""column"": ""qacode"", ""error_type"": ""Lookup Fail"", ""error"": ""The data inserted ('AJ') does not match the lookup list <a href='http://checker.sccwrp.org/checker/scraper?action=help&layer=lu_toxtestacceptability' target='_blank'>lu_toxtestacceptability</a> for the column"" }",1,Los Angeles County Sanitation Districts,1,33.69703908,-117.92090344,"{ ""column"": ""qacode"", ""error_type"": ""Lookup Fail"", ""error"": ""The data inserted ('AJ') does not match the lookup list <a href='http://checker.sccwrp.org/checker/scraper?action=help&layer=lu_toxtestacceptability' target='_blank'>lu_toxtestacceptability</a> for the column"" }",Reference Toxicant,90.8333333333,24,,AJ,90,%,4,2013-08-09,RFNH3,0101000020110F0000BF0E9CDD9D0969C1500C02FB706D4E41,Eohaustorius estuarius,0000,1.0,M,12.4818709114,None,4,eohRT0809,None,155.797101449,,,NSC,Nontoxic,
0.0,13.7415092603,The pH values are lower than 7.7 pH units.,15.6,Milligrams per liter,,-88,4 day survival percent,"{ ""column"": ""qacode"", ""error_type"": ""Lookup Fail"", ""error"": ""The data inserted ('AJ') does not match the lookup list <a href='http://checker.sccwrp.org/checker/scraper?action=help&layer=lu_toxtestacceptability' target='_blank'>lu_toxtestacceptability</a> for the column"" }",1,Los Angeles County Sanitation Districts,2,33.69703908,-117.92090344,"{ ""column"": ""qacode"", ""error_type"": ""Lookup Fail"", ""error"": ""The data inserted ('AJ') does not match the lookup list <a href='http://checker.sccwrp.org/checker/scraper?action=help&layer=lu_toxtestacceptability' target='_blank'>lu_toxtestacceptability</a> for the column"" }",Reference Toxicant,90.8333333333,24,,AJ,90,%,5,2013-08-09,RFNH3,0101000020110F0000BF0E9CDD9D0969C1500C02FB706D4E41,Eohaustorius estuarius,0000,1.0,M,12.4818709114,None,5,eohRT0809,None,155.797101449,,,NSC,Nontoxic,
0.0,13.7415092603,The pH values are lower than 7.7 pH units.,15.6,Milligrams per liter,,-88,4 day survival percent,"{ ""column"": ""qacode"", ""error_type"": ""Lookup Fail"", ""error"": ""The data inserted ('AJ') does not match the lookup list <a href='http://checker.sccwrp.org/checker/scraper?action=help&layer=lu_toxtestacceptability' target='_blank'>lu_toxtestacceptability</a> for the column"" }",1,Los Angeles County Sanitation Districts,3,33.69703908,-117.92090344,"{ ""column"": ""qacode"", ""error_type"": ""Lookup Fail"", ""error"": ""The data inserted ('AJ') does not match the lookup list <a href='http://checker.sccwrp.org/checker/scraper?action=help&layer=lu_toxtestacceptability' target='_blank'>lu_toxtestacceptability</a> for the column"" }",Reference Toxicant,90.8333333333,24,,AJ,100,%,6,2013-08-09,RFNH3,0101000020110F0000BF0E9CDD9D0969C1500C02FB706D4E41,Eohaustorius estuarius,0000,1.0,M,12.4818709114,None,6,eohRT0809,None,155.797101449,,,NSC,Nontoxic,
0.0,13.7415092603,The pH values are lower than 7.7 pH units.,15.6,Milligrams per liter,,-88,4 day survival percent,"{ ""column"": ""qacode"", ""error_type"": ""Lookup Fail"", ""error"": ""The data inserted ('AJ') does not match the lookup list <a href='http://checker.sccwrp.org/checker/scraper?action=help&layer=lu_toxtestacceptability' target='_blank'>lu_toxtestacceptability</a> for the column"" }",1,Los Angeles County Sanitation Districts,4,33.69703908,-117.92090344,"{ ""column"": ""qacode"", ""error_type"": ""Lookup Fail"", ""error"": ""The data inserted ('AJ') does not match the lookup list <a href='http://checker.sccwrp.org/checker/scraper?action=help&layer=lu_toxtestacceptability' target='_blank'>lu_toxtestacceptability</a> for the column"" }",Reference Toxicant,90.8333333333,24,,AJ,100,%,7,2013-08-09,RFNH3,0101000020110F0000BF0E9CDD9D0969C1500C02FB706D4E41,Eohaustorius estuarius,0000,1.0,M,12.4818709114,None,7,eohRT0809,None,155.797101449,,,NSC,Nontoxic,
0.0,13.7415092603,The pH values are lower than 7.7 pH units.,31.2,Milligrams per liter,,-88,4 day survival percent,"{ ""column"": ""qacode"", ""error_type"": ""Lookup Fail"", ""error"": ""The data inserted ('AJ') does not match the lookup list <a href='http://checker.sccwrp.org/checker/scraper?action=help&layer=lu_toxtestacceptability' target='_blank'>lu_toxtestacceptability</a> for the column"" }",1,Los Angeles County Sanitation Districts,1,33.69703908,-117.92090344,"{ ""column"": ""qacode"", ""error_type"": ""Lookup Fail"", ""error"": ""The data inserted ('AJ') does not match the lookup list <a href='http://checker.sccwrp.org/checker/scraper?action=help&layer=lu_toxtestacceptability' target='_blank'>lu_toxtestacceptability</a> for the column"" }",Reference Toxicant,90.8333333333,24,,AJ,80,%,8,2013-08-09,RFNH3,0101000020110F0000BF0E9CDD9D0969C1500C02FB706D4E41,Eohaustorius estuarius,0000,1.0,M,12.4818709114,None,8,eohRT0809,None,155.797101449,,,NSC,Nontoxic,
0.0,13.7415092603,The pH values are lower than 7.7 pH units.,31.2,Milligrams per liter,,-88,4 day survival percent,"{ ""column"": ""qacode"", ""error_type"": ""Lookup Fail"", ""error"": ""The data inserted ('AJ') does not match the lookup list <a href='http://checker.sccwrp.org/checker/scraper?action=help&layer=lu_toxtestacceptability' target='_blank'>lu_toxtestacceptability</a> for the column"" }",1,Los Angeles County Sanitation Districts,2,33.69703908,-117.92090344,"{ ""column"": ""qacode"", ""error_type"": ""Lookup Fail"", ""error"": ""The data inserted ('AJ') does not match the lookup list <a href='http://checker.sccwrp.org/checker/scraper?action=help&layer=lu_toxtestacceptability' target='_blank'>lu_toxtestacceptability</a> for the column"" }",Reference Toxicant,90.8333333333,24,,AJ,90,%,9,2013-08-09,RFNH3,0101000020110F0000BF0E9CDD9D0969C1500C02FB706D4E41,Eohaustorius estuarius,0000,1.0,M,12.4818709114,None,9,eohRT0809,None,155.797101449,,,NSC,Nontoxic,
