wgtcode,database,new_lat,new_long,regionalboardnumber,psa6c,psa9c,eco_iii_1987,eco_iii_2010,eco_ii_1987,eco_ii_2010,flowstatus,ag_2000_1k,ag_2000_5k,ag_2000_ws,code_21_2000_1k,code_21_2000_5k,code_21_2000_ws,urban_2000_1k,urban_2000_5k,urban_2000_ws,roaddens_1k,roaddens_5k,roaddens_ws,paved_int_1k,paved_int_5k,paved_int_ws,permanmade_ws,invdamdist,mines_5k,gravelminedensl_r5k,elev_range,max_elev,n_mean,p_mean,pct_cenoz,pct_nosed,pct_quart,pct_sedim,pct_volcnc,ppt_00_09,temp_00_09,nhd_so,maflowu,nhdslope,ftype,nhdflow,sampled,bpj_nonref,active,area_sqkm,site_elev,cao_mean,mgo_mean,s_mean,ucs_mean,lprem_mean,atmca,atmmg,atmso4,minp_ws,meanp_ws,sumave_p,tmax_ws,xwd_ws,maxwd_ws,lst32ave,bdh_ave,kfct_ave,prmh_ave,condqr01,condqr05,condqr25,condqr50,condqr75,condqr95,condqr99,lastupdatedate,comid,sitestatus,ag_2006_1k,ag_2006_5k,ag_2006_ws,code_21_2006_1k,code_21_2006_5k,code_21_2006_ws,urban_2006_1k,urban_2006_5k,urban_2006_ws,ag_2011_1k,ag_2011_5k,ag_2011_ws,code_21_2011_1k,code_21_2011_5k,code_21_2011_ws,urban_2011_1k,urban_2011_5k,urban_2011_ws,psa10c,created_user,created_date,last_edited_user,last_edited_date,StationCode
CAW03444-0106,Rounds123,37.8011137,-119.84768,5,SN,SNws,5.0,5.0,Mountain,Mountain,Perennial,0.0,0.0,0.0,6.4079,3.7433,3.9474,0.0,0.0,0.0,1.183965,0.8051409,0.8789318,1,2,2,0,0,0,0.0,694,2023,0.0307,0.146,0,73.0052,0,26.99449,0,96387.3,1714,2.0,9.16901,0.0257,StreamRiver,Perennial,TRUE,FALSE,TRUE,18.40376,1329,4.7749,2.0163,0.0401,148.7925,-1.3944,0.0361,0.0106,0.1879,2.6522,1085.098,1512.45,255.913,59.9474,10.2456,125.1724,1.4005,0.2376,2.8281,10,27.0,41.0,86,166.6667,281.0,377,12-Sep-16,17081919,Reference,0.0,0.0,0.0,6.463196,3.76576,3.955355,0.0,0.0331785,0.02937145,0.0,0.0,0.0,6.463196,3.76576,3.955355,0.0,0.0331785,0.02937145,SNws,,,,,536CE0106
CAW03444-0011,Rounds123,38.8836501,-121.30242,5,CV,CV,7.0,7.0,Xeric,Xeric,Perennial,27.0,19.0,8.0,14.1264,10.7213,7.703,22.0,8.0,14.0,10.93367,5.033291,4.600339,4,17,209,45,0,1,0.0,470,514,0.0139,0.1968,1,38.51343,0,61.48648,0,50732.3,2423,2.0,52.94102,0.00252,StreamRiver,Perennial,TRUE,FALSE,TRUE,86.68638,44,4.6426,2.4956,0.0311,142.2308,-1.3203,0.0504,0.0495,0.3081,2.4706,769.0804,1001.503,342.8333,57.5037,8.8545,67.7811,1.6018,0.2404,4.2711,27,111.0,208.0,290,354.6341,501.0,645,12-Sep-16,948021154,Stressed,25.0,15.0,8.0,14.69136,12.72073,8.352454,53.0,18.11642,14.35646,24.0,14.0,8.0,12.59259,12.62263,8.352454,60.0,19.60432,14.82574,CV,,,,,519CE0011
CAW03444-0088,Rounds123,34.305765,-116.9427,6,DM,DM,8.0,8.0,Mountain,Mountain,Perennial,0.0,0.0,0.0,2.2919,1.2981,1.2947,1.0,2.0,2.0,0.0,0.08534948,0.08512306,0,1,1,0,0,0,0.0,402,2553,0.0152,0.1102,100,0.0,100,0.0,0,49118.7,1750,3.0,0.94674,0.03951,StreamRiver,Perennial,TRUE,FALSE,TRUE,19.33218,2151,22.2415,4.0994,0.0685,131.1822,-1.146,0.078,0.0303,0.4173,3.381,653.8605,4123.246,255.0,45.7288,6.2373,155.7213,1.6393,0.1664,13.4867,37,101.0,247.0,323,426.0,794.0,1069,12-Sep-16,22660549,Reference,0.0,0.0,0.0,2.191142,1.274034,1.266294,1.0,1.600709,1.60149,0.0,0.0,0.0,2.191142,1.274034,1.266294,1.0,1.600709,1.60149,DMde,,,,,628CE0088
CAW03444-0214,Rounds123,38.0501582,-121.34217,5,CV,CV,7.0,7.0,Xeric,Xeric,Perennial,82.0,83.0,90.0,9.2857,7.9982,6.2094,7.0,6.0,2.0,12.2469,5.81992,2.350502,1,6,22,25,0,0,0.0,21,25,0.8454,0.1252,100,0.0,100,0.0,0,40759.1,2437,1.0,10.29333,0.00117,StreamRiver,Perennial,TRUE,FALSE,TRUE,30.03096,4,1.5171,0.9636,0.1104,2.2265,2.1066,0.0506,0.0497,0.3146,0.9697,442.8676,455.6635,333.9697,52.5604,8.0659,56.1183,1.5733,0.2985,4.7069,27,86.0,228.0,350,461.0,892.0,1162,12-Sep-16,3953089,Stressed,9.0,42.0,84.0,17.14286,17.64316,7.589473,73.0,27.72496,5.671123,9.0,41.0,84.0,11.33929,19.38979,7.589473,79.0,33.65023,6.495414,CV,,,,,531CE0214
CAW03444-0283,Rounds123,39.2605867,-123.11308,1,CH,CHco,6.0,6.0,Xeric,Xeric,Perennial,0.0,14.0,11.0,3.2706,3.1826,3.7746,0.0,0.0,0.0,0.87153022,0.9631216,1.18194378,0,15,39,18,0,1,0.0,823,1087,0.1858,0.1229,0,0.0,0,100.0,0,98231.39844,2248,4.0,43.70229,0.00809,StreamRiver,Perennial,TRUE,FALSE,TRUE,184.556786,264,5.9453,3.4242,0.2387,82.3449,-0.2107,0.0331,0.0374,0.2121,1.1964,1136.6149,1272.2441,326.067,78.0206,12.0928,105.3586,1.4791,0.232,1.277,27,84.0,178.0,266,326.0,503.0,634,12-Sep-16,8268071,Intermediate,0.0,14.0,11.0,3.10497782,3.12697785,3.70783996,0.0,0.18591772,0.16873769,0.0,14.0,11.0,3.10497782,3.12697785,3.70783996,0.0,0.18591772,0.16922537,CHco,,,,,114CE0283
CAW03444-0284,Rounds123,34.1524123,-119.19372,4,SC,SCx,6.0,85.0,Xeric,Xeric,Perennial,0.0,0.0,4.0,10.4752,3.8343,3.2231,89.0,95.0,89.0,16.36312,14.36011,13.93045,3,11,12,61,0,0,0.0,24,28,0.8454,0.1252,100,0.0,0,100.0,0,36754.5,2062,,,,StreamRiver,Perennial,TRUE,FALSE,TRUE,15.9486,4,1.5171,0.9636,0.1104,2.2265,2.1066,0.0597,0.0294,0.3671,0.0,377.3889,302.9089,241.15,27.1633,5.0,35.3725,1.588,0.2704,4.0464,31,53.0,219.0,382,634.0,975.0,1164,12-Sep-16,17562666,Stressed,0.0,0.0,3.0,10.67236,3.861442,3.596026,89.0,95.16184,91.00147,0.0,0.0,3.0,10.56564,3.713799,3.596026,89.0,95.30948,91.62245,SCx,,,,,410CE0284
CAW03444-0330,Rounds123,38.0367244,-120.08998,5,SN,SNws,5.0,5.0,Mountain,Mountain,Perennial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3410566,0.1845933,0.1845933,0,0,0,0,0,0,0.0,164,1716,0.0121,0.1676,0,72.97109,0,27.02498,0,106913.7,1752,2.0,1.0385,0.17369,StreamRiver,Perennial,TRUE,FALSE,TRUE,1.916375,1552,3.9728,1.8063,0.0275,152.3321,-1.6927,0.0374,0.011,0.1914,5.0,1102.0,2662.6,293.5,64.0,10.0,137.0,1.4259,0.231,3.7815,15,23.0,36.0,44,77.0,239.0,356,12-Sep-16,17074765,Reference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SNws,,,,,536CE0330
CAW03444-0581,Rounds123,40.4583509,-121.83545,5,CH,CHin,6.0,4.0,Xeric,Mountain,Perennial,0.0,0.0,0.0,0.0,0.0,0.4749,0.0,0.0,0.0,2.166425,3.525357,3.03332,1,1,6,0,0,0,0.0,2019,2801,0.2131,0.2424,0,0.0,0,0.0,100,87017.7,2148,2.0,23.87543,0.04655,StreamRiver,Perennial,TRUE,FALSE,TRUE,82.82449,782,5.4039,3.1744,0.0338,105.9437,0.0369,0.0354,0.0182,0.1693,7.0,1398.274,6188.846,270.0792,112.3465,15.3031,162.3858,1.1728,0.1473,4.0032,20,32.0,48.0,77,117.0,193.0,226,12-Sep-16,2765984,Intermediate,0.0,0.0,0.0,0.0,0.0,0.4640094,0.0,0.0,0.00434669,0.0,0.0,0.0,0.0,0.0,0.4640094,0.0,0.0,0.00434669,CHin,,,,,507CE0581
CAW03991-052,Rounds123,35.1369882,-120.18877,3,CH,CHco,6.0,6.0,Xeric,Xeric,Perennial,0.0,0.0,0.0,4.0025,1.1356,1.3876,0.0,0.0,0.0,0.0,0.0154072,0.17005528,0,0,13,0,0,0,0.0,865,1195,0.0295,0.1031,99,0.0,0,100.0,0,45409.80078,2398,4.0,1.11479,0.00907,StreamRiver,Intermittent,TRUE,FALSE,TRUE,132.964132,330,12.9656,5.3054,0.338,82.2975,-0.558,0.0573,0.0234,0.274,0.0,655.3289,454.0406,337.0566,35.914,6.6314,72.4506,1.5335,0.2454,1.5391,104,196.0,349.0,585,878.5,1162.0,1169,12-Sep-16,17632248,Reference,0.0,0.0,0.0,3.76078915,1.12239882,1.39436029,0.0,0.0,0.0,0.0,0.0,0.0,3.76078915,1.12239882,1.39436029,0.0,0.0,0.0,CHco,,,,,312CAW052
NA,Rounds123,40.1609328,-123.40212,1,NC,NC,78.0,78.0,Mountain,Mountain,Perennial,0.0,0.0,0.0,2.2075,5.2473,5.6965,0.0,0.0,0.0,1.80213272,5.02428662,5.14578762,0,9,9,0,0,0,0.0,494,1183,0.0589,0.1154,0,0.0,0,100.0,0,147478.0,2038,2.0,13.97628,0.02231,StreamRiver,Perennial,TRUE,FALSE,TRUE,18.276288,689,3.3631,3.0047,0.0572,101.7499,-0.6753,0.0343,0.0294,0.1948,3.1429,1494.738,3218.4543,312.5714,95.7368,14.9298,112.2679,1.4575,0.22,1.645,44,94.0,144.0,159,226.0,500.0,504,12-Sep-16,2706761,Stressed,0.0,0.0,0.0,2.18340611,5.34498472,5.72216477,0.0,0.0,0.01477323,0.0,0.0,0.0,2.18340611,5.34498472,5.72216477,0.0,0.0,0.01477323,NC,,,,,111WER036
central_lahontan.0003,Rounds123,38.8174123,-119.90947,6,SN,SNcl,5.0,5.0,Mountain,Mountain,Perennial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,841,3304,0.0094,0.1706,0,100.0,0,0.0,0,76329.6,1237,2.0,8.29631,0.06708,StreamRiver,Perennial,TRUE,FALSE,TRUE,14.62621,2463,3.8875,1.7839,0.0261,152.7083,-1.7244,0.0715,0.0125,0.2514,15.625,926.1613,4756.189,207.625,84.6818,11.9091,177.8044,1.5873,0.1131,19.4132,8,10.0,24.0,35,58.0,93.0,139,12-Sep-16,8922399,Reference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SNcl,,,,,633PS0003
Missing,Rounds123,38.8995896,-123.39059,1,NC,NC,1.0,1.0,Mountain,Mountain,Perennial,0.0,0.0,0.0,0.0,1.6025,2.4678,0.0,0.0,0.0,1.54792685,2.86439082,2.56760119,1,4,7,0,0,0,0.0,490,733,0.0379,0.1409,0,0.0,0,100.0,0,115608.2969,2184,3.0,30.9221,0.00519,StreamRiver,Perennial,TRUE,FALSE,TRUE,48.869672,243,3.1333,1.981,0.0497,81.2234,-0.684,0.033,0.0377,0.2128,2.1897,1438.193,1293.2919,304.9483,82.4901,13.0066,72.9276,1.4927,0.203,3.9969,42,128.0,173.0,228,289.0,344.0,502,12-Sep-16,2666269,Intermediate,0.0,0.0,0.0,0.0,1.5989973,2.45892581,0.0,0.00759619,0.00920946,0.0,0.0,0.0,0.0,1.5989973,2.45892581,0.0,0.00759619,0.00920946,NC,,,,,113GAR105
NA,Rounds123,37.5620443,-121.79842,2,CH,CHco,6.0,6.0,Xeric,Xeric,Nonperennial,0.0,0.0,0.0,0.0,2.6426,1.4558,0.0,0.0,0.0,0.0,1.37851755,1.24599328,0,0,0,0,0,0,0.0,965,1162,0.0095,0.0193,0,0.0,0,100.0,0,50251.19922,2044,2.0,0.2996,0.0576,StreamRiver,Intermittent,TRUE,FALSE,TRUE,17.254526,197,4.1165,3.292,0.1171,101.3202,-0.6749,0.0467,0.0425,0.2808,1.0,634.9429,704.127,271.4211,59.6545,10.0,63.4792,1.5281,0.2906,2.9597,31,80.0,200.0,300,370.0,598.0,871,12-Sep-16,2808579,Reference,0.0,0.0,0.0,0.0,2.67826873,1.45539906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67826873,1.45539906,0.0,0.0,0.0,CHco,,,,,204IND200
NA,Rounds123,38.8913409,-121.2826,5,CH,CHin,6.0,7.0,Xeric,Xeric,Perennial,7.0,17.0,8.0,15.444,8.0114,7.695,6.0,1.0,13.0,4.759887,2.298306,4.40222,4,22,209,42,0,3,0.0,464,514,0.014,0.1926,0,44.11756,0,55.88241,0,50732.3,2423,2.0,52.94102,0.00252,StreamRiver,Perennial,TRUE,FALSE,TRUE,86.41933,50,4.5362,2.4054,0.0314,142.1254,-1.3486,0.0504,0.0497,0.3089,2.4141,761.6884,988.6556,343.7374,57.0414,8.7707,67.7004,1.6036,0.2367,4.4236,27,111.0,200.0,289,354.65,500.0,640,12-Sep-16,948021154,,7.0,18.0,7.0,17.80952,8.486571,8.328906,13.0,2.31062,13.4023,5.0,17.0,7.0,17.61905,8.577709,8.328906,13.0,2.46073,13.77317,CHin,,,,,519ARH193
NA,Rounds123,41.1670656,-120.30202,5,DM,DM,9.0,9.0,Xeric,Xeric,Perennial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.407467,0.9839486,0.9108318,0,2,2,0,0,0,0.0,444,2240,0.0079,0.2759,0,0.0,0,0.0,100,48574.9,1454,3.0,7.87068,0.03667,StreamRiver,Perennial,TRUE,FALSE,TRUE,27.08369,1796,6.6953,3.9717,0.0196,138.1802,-0.3477,0.0446,0.0146,0.1773,12.5152,657.9492,5808.153,249.0606,93.7857,11.8452,176.037,1.2908,0.1242,15.0934,15,33.0,83.0,98,113.0,174.0,240,12-Sep-16,7930149,Intermediate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DMmo,,,,,526PSCBBL
