BAResult,CollectionMethodCode,Distinct,FinalID,LifeStageCode,FieldReplicate,SampleDate,SampleID,StationCode,DatabaseCode
1,BMI_RWB,0,Parakiefferiella,L,1,2000-09-07,105WE0591_09072000_BMI_RWB_1,105WE0591,SWAMP
53,BMI_RWB,0,Helicopsyche,L,1,2000-09-07,105WE0591_09072000_BMI_RWB_1,105WE0591,SWAMP
17,BMI_RWB,0,Hydropsyche,L,1,2003-07-25,105WE0591_07252003_BMI_RWB_1,105WE0591,SWAMP
3,BMI_RWB,0,Callibaetis,L,1,2000-09-07,105WE0591_09072000_BMI_RWB_1,105WE0591,SWAMP
4,BMI_RWB,0,Stactobiella,L,1,2000-09-07,105WE0591_09072000_BMI_RWB_1,105WE0591,SWAMP
4,BMI_RWB,0,Cricotopus,P,1,2000-09-07,105WE0591_09072000_BMI_RWB_1,105WE0591,SWAMP
2,BMI_RWB,0,Chironomus,L,1,2003-07-25,105WE0591_07252003_BMI_RWB_1,105WE0591,SWAMP
1,BMI_RWB,0,Ambrysus mormon,A,1,2003-07-25,105WE0591_07252003_BMI_RWB_1,105WE0591,SWAMP
2,BMI_RWB,0,Elmidae,L,1,2003-07-25,105WE0591_07252003_BMI_RWB_1,105WE0591,SWAMP
2,BMI_RWB,0,Tanypodinae,L,1,2000-09-07,105WE0591_09072000_BMI_RWB_1,105WE0591,SWAMP
2,BMI_RWB,0,Planorbidae,X,1,2000-09-07,105WE0591_09072000_BMI_RWB_1,105WE0591,SWAMP
21,BMI_RWB,0,Musculium,X,1,2003-07-25,105WE0591_07252003_BMI_RWB_1,105WE0591,SWAMP
2,BMI_RWB,0,Pentaneura,L,1,2003-07-25,105WE0591_07252003_BMI_RWB_1,105WE0591,SWAMP
1,BMI_RWB,0,Synorthocladius,L,1,2003-07-25,105WE0591_07252003_BMI_RWB_1,105WE0591,SWAMP
2,BMI_RWB,0,Torrenticola,X,1,2003-07-25,105WE0591_07252003_BMI_RWB_1,105WE0591,SWAMP
2,BMI_RWB,0,Corixidae,L,1,2000-09-07,105WE0591_09072000_BMI_RWB_1,105WE0591,SWAMP
12,BMI_RWB,0,Phaenopsectra,L,1,2003-07-25,105WE0591_07252003_BMI_RWB_1,105WE0591,SWAMP
1,BMI_RWB,0,Utaxatax,X,1,2000-09-07,105WE0591_09072000_BMI_RWB_1,105WE0591,SWAMP
6,BMI_RWB,0,Sperchon,X,1,2003-07-25,105WE0591_07252003_BMI_RWB_1,105WE0591,SWAMP
3,BMI_RWB,0,Atractides,X,1,2003-07-25,105WE0591_07252003_BMI_RWB_1,105WE0591,SWAMP
2,BMI_RWB,0,Corixidae,L,1,2003-07-25,105WE0591_07252003_BMI_RWB_1,105WE0591,SWAMP
1,BMI_RWB,0,Vorticifex effusa,X,1,2000-09-07,105WE0591_09072000_BMI_RWB_1,105WE0591,SWAMP
1,BMI_RWB,0,Nematoda,X,1,2000-09-07,105WE0591_09072000_BMI_RWB_1,105WE0591,SWAMP
120,BMI_RWB,0,Tricorythodes,L,1,2000-09-07,105WE0591_09072000_BMI_RWB_1,105WE0591,SWAMP
5,BMI_RWB,0,Rheocricotopus,L,1,2000-09-07,105WE0591_09072000_BMI_RWB_1,105WE0591,SWAMP
1,BMI_RWB,0,Dubiraphia,L,1,2000-09-07,105WE0591_09072000_BMI_RWB_1,105WE0591,SWAMP
3,BMI_RWB,0,Probezzia,L,1,2003-07-25,105WE0591_07252003_BMI_RWB_1,105WE0591,SWAMP
3,BMI_RWB,0,Prostoma,X,1,2003-07-25,105WE0591_07252003_BMI_RWB_1,105WE0591,SWAMP
4,BMI_RWB,0,Asioplax,L,1,2003-07-25,105WE0591_07252003_BMI_RWB_1,105WE0591,SWAMP
6,BMI_RWB,0,Glossosoma,L,1,2003-07-25,105WE0591_07252003_BMI_RWB_1,105WE0591,SWAMP
4,BMI_RWB,0,Orthocladiinae,L,1,2000-09-07,105WE0591_09072000_BMI_RWB_1,105WE0591,SWAMP
1,BMI_RWB,0,Ischnura,L,1,2000-09-07,105WE0591_09072000_BMI_RWB_1,105WE0591,SWAMP
2,BMI_RWB,0,Nectopsyche,L,1,2003-07-25,105WE0591_07252003_BMI_RWB_1,105WE0591,SWAMP
18,BMI_RWB,0,Microtendipes pedellus group,L,1,2003-07-25,105WE0591_07252003_BMI_RWB_1,105WE0591,SWAMP
1,BMI_RWB,0,Lebertia,X,1,2003-07-25,105WE0591_07252003_BMI_RWB_1,105WE0591,SWAMP
5,BMI_RWB,0,Microtendipes pedellus group,L,1,2000-09-07,105WE0591_09072000_BMI_RWB_1,105WE0591,SWAMP
2,BMI_RWB,0,Cricotopus bicinctus group,L,1,2003-07-25,105WE0591_07252003_BMI_RWB_1,105WE0591,SWAMP
1,BMI_RWB,0,Caenis,L,1,2003-07-25,105WE0591_07252003_BMI_RWB_1,105WE0591,SWAMP
4,BMI_RWB,0,Acari,X,1,2003-07-25,105WE0591_07252003_BMI_RWB_1,105WE0591,SWAMP
24,BMI_RWB,0,Physa,X,1,2000-09-07,105WE0591_09072000_BMI_RWB_1,105WE0591,SWAMP
1,BMI_RWB,0,Oecetis,L,1,2003-07-25,105WE0591_07252003_BMI_RWB_1,105WE0591,SWAMP
