BAResult,CollectionMethodCode,Distinct,FinalID,LifeStageCode,origin_lastupdatedate,record_origin,FieldReplicate,SampleDate,SampleID,StationCode,DatabaseCode
3,BMI_RWB,0,Corynoneura,L,2016-02-05,SWAMP,2,2004-10-15,519DRCGRP_10152004_BMI_RWB_2,519DRCGRP,SWAMP
2,BMI_RWB,0,Pentaneura,L,2016-02-05,SWAMP,2,2004-10-15,519DRCGRP_10152004_BMI_RWB_2,519DRCGRP,SWAMP
5,BMI_RWB,0,Ophiogomphus,L,2016-02-05,SWAMP,2,2004-10-15,519DRCGRP_10152004_BMI_RWB_2,519DRCGRP,SWAMP
13,BMI_RWB,0,Cladotanytarsus,L,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
4,BMI_RWB,0,Chironomini,L,2016-02-05,SWAMP,2,2004-10-15,519DRCGRP_10152004_BMI_RWB_2,519DRCGRP,SWAMP
46,BMI_RWB,0,Oligochaeta,X,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
63,BMI_RWB,0,Tricorythodes,L,2016-02-05,SWAMP,2,2004-10-15,519DRCGRP_10152004_BMI_RWB_2,519DRCGRP,SWAMP
1,BMI_RWB,0,Polypedilum,L,2016-02-05,SWAMP,2,2004-10-15,519DRCGRP_10152004_BMI_RWB_2,519DRCGRP,SWAMP
5,BMI_RWB,0,Prostoma,X,2016-02-05,SWAMP,2,2004-10-15,519DRCGRP_10152004_BMI_RWB_2,519DRCGRP,SWAMP
74,BMI_RWB,0,Tricorythodes,L,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
6,BMI_RWB,0,Pentaneura,L,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
40,BMI_RWB,0,Rheotanytarsus,L,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
30,BMI_RWB,0,Nectopsyche,L,2016-02-05,SWAMP,2,2004-10-15,519DRCGRP_10152004_BMI_RWB_2,519DRCGRP,SWAMP
1,BMI_RWB,0,Limnophyes,L,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
3,BMI_RWB,0,Hydroptila,L,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
3,BMI_RWB,0,Erpetogomphus,L,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
7,BMI_RWB,0,Rheocricotopus,L,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
1,BMI_RWB,0,Ostracoda,X,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
5,BMI_RWB,0,Ceratopogonidae,L,2016-02-05,SWAMP,2,2004-10-15,519DRCGRP_10152004_BMI_RWB_2,519DRCGRP,SWAMP
14,BMI_RWB,0,Turbellaria,X,2016-02-05,SWAMP,2,2004-10-15,519DRCGRP_10152004_BMI_RWB_2,519DRCGRP,SWAMP
2,BMI_RWB,0,Sperchon,X,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
14,BMI_RWB,0,Polypedilum,L,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
9,BMI_RWB,0,Camelobaetidius warreni,L,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
1,BMI_RWB,0,Helisoma,X,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
100,BMI_RWB,0,Fallceon quilleri,L,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
13,BMI_RWB,0,Hydropsyche californica,L,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
4,BMI_RWB,0,Robackia demeijerei,L,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
61,BMI_RWB,0,Corbicula,X,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
6,BMI_RWB,0,Argia,L,2016-02-05,SWAMP,2,2004-10-15,519DRCGRP_10152004_BMI_RWB_2,519DRCGRP,SWAMP
2,BMI_RWB,0,Tanytarsus,L,2016-02-05,SWAMP,2,2004-10-15,519DRCGRP_10152004_BMI_RWB_2,519DRCGRP,SWAMP
2,BMI_RWB,0,Gomphidae,L,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
2,BMI_RWB,0,Thienemanniella,L,2016-02-05,SWAMP,2,2004-10-15,519DRCGRP_10152004_BMI_RWB_2,519DRCGRP,SWAMP
150,BMI_RWB,0,Ostracoda,X,2016-02-05,SWAMP,2,2004-10-15,519DRCGRP_10152004_BMI_RWB_2,519DRCGRP,SWAMP
2,BMI_RWB,0,Hydroptila,L,2016-02-05,SWAMP,2,2004-10-15,519DRCGRP_10152004_BMI_RWB_2,519DRCGRP,SWAMP
1,BMI_RWB,0,Amphipoda,X,2016-02-05,SWAMP,2,2004-10-15,519DRCGRP_10152004_BMI_RWB_2,519DRCGRP,SWAMP
13,BMI_RWB,0,Thienemanniella,L,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
3,BMI_RWB,0,Simulium,L,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
12,BMI_RWB,0,Paracloeodes minutus,L,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
1,BMI_RWB,0,Progomphus borealis,L,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
4,BMI_RWB,0,Nectopsyche,L,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
26,BMI_RWB,0,Oligochaeta,X,2016-02-05,SWAMP,2,2004-10-15,519DRCGRP_10152004_BMI_RWB_2,519DRCGRP,SWAMP
3,BMI_RWB,0,Cricotopus bicinctus group,L,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
15,BMI_RWB,0,Turbellaria,X,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
2,BMI_RWB,0,Hydropsyche,L,2016-02-05,SWAMP,2,2004-10-15,519DRCGRP_10152004_BMI_RWB_2,519DRCGRP,SWAMP
4,BMI_RWB,0,Tanytarsus,L,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
4,BMI_RWB,0,Brechmorhoga mendax,L,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
