wgtcode,database,new_lat,new_long,regionalboardnumber,psa6c,psa9c,eco_iii_1987,eco_iii_2010,eco_ii_1987,eco_ii_2010,flowstatus,ag_2000_1k,ag_2000_5k,ag_2000_ws,code_21_2000_1k,code_21_2000_5k,code_21_2000_ws,urban_2000_1k,urban_2000_5k,urban_2000_ws,roaddens_1k,roaddens_5k,roaddens_ws,paved_int_1k,paved_int_5k,paved_int_ws,permanmade_ws,invdamdist,mines_5k,gravelminedensl_r5k,elev_range,max_elev,n_mean,p_mean,pct_cenoz,pct_nosed,pct_quart,pct_sedim,pct_volcnc,ppt_00_09,temp_00_09,nhd_so,maflowu,nhdslope,ftype,nhdflow,sampled,bpj_nonref,active,area_sqkm,site_elev,cao_mean,mgo_mean,s_mean,ucs_mean,lprem_mean,atmca,atmmg,atmso4,minp_ws,meanp_ws,sumave_p,tmax_ws,xwd_ws,maxwd_ws,lst32ave,bdh_ave,kfct_ave,prmh_ave,condqr01,condqr05,condqr25,condqr50,condqr75,condqr95,condqr99,lastupdatedate,comid,sitestatus,ag_2006_1k,ag_2006_5k,ag_2006_ws,code_21_2006_1k,code_21_2006_5k,code_21_2006_ws,urban_2006_1k,urban_2006_5k,urban_2006_ws,ag_2011_1k,ag_2011_5k,ag_2011_ws,code_21_2011_1k,code_21_2011_5k,code_21_2011_ws,urban_2011_1k,urban_2011_5k,urban_2011_ws,psa10c,created_user,created_date,last_edited_user,last_edited_date,stationcode
NA,Rounds123,33.6169656,-117.42782,9,SC,SCx,6.0,85.0,Xeric,Xeric,Nonperennial,0.0,0.0,0.0,27.3705,5.7765,5.5173,0.0,0.0,0.0,3.078823,0.9539025,0.9115279,3,4,4,0,0,0,0.0,508,1083,0.0046,0.1621,0,100.0,0,0.0,0,32913.5,2564,2.0,0.28175,0.10671,StreamRiver,Intermittent,TRUE,FALSE,TRUE,16.09177,575,4.6226,2.0943,0.0216,140.6432,-3.4191,0.0614,0.0313,0.3946,0.1579,473.5676,724.8556,339.2632,34.25,6.0,72.3061,1.592,0.237,5.159,67,172.0,335.0,407,527.0,808.0,999,12-Sep-16,20348331,,0.0,0.0,0.0,26.71096,5.701549,5.4264,1.0,0.1231816,0.1117693,0.0,0.0,0.0,26.71096,5.701549,5.4264,1.0,0.1231816,0.1117693,SCx,,,,,SJOF1
NA,Rounds123,33.5806107,-117.52518,9,SC,SCx,6.0,85.0,Xeric,Xeric,Nonperennial,0.0,0.0,0.0,9.8793,3.5339,3.8079,0.0,0.0,0.0,2.221277,0.4737895,0.7659804,1,8,20,0,0,0,0.0,1191,1372,0.027,0.1471,0,81.54934,0,18.45066,0,31732.4,2490,3.0,1.80851,0.0145,StreamRiver,Intermittent,TRUE,FALSE,TRUE,102.9768,181,4.5932,2.4323,0.0249,131.9766,-2.5868,0.0602,0.0313,0.3929,0.2377,487.0815,774.0201,326.0738,34.6635,6.0126,65.5078,1.5779,0.2621,4.4321,75,200.0,364.0,408,535.1111,840.0,1108,12-Sep-16,20348471,,0.0,0.0,0.0,10.17964,3.550868,3.814085,0.0,0.06152494,0.07166704,0.0,0.0,0.0,10.17964,3.550868,3.814085,0.0,0.06152494,0.07166704,SCx,,,,,SJSJ5
NA,Rounds123,32.8548704,-116.52217,9,SC,SCx,6.0,8.0,Xeric,Mountain,Nonperennial,0.0,0.0,0.0,6.2069,2.4823,4.105,0.0,0.0,1.0,0.7782888,0.6261903,1.044775,1,6,13,0,0,5,0.0,774,1906,0.0115,0.1484,0,100.0,0,0.0,0,56250.4,2079,4.0,1.08363,0.0093,StreamRiver,Perennial,TRUE,FALSE,TRUE,74.27083,1132,3.9961,2.4108,0.032,142.5174,-1.9496,0.1105,0.0317,0.4486,5.4318,812.7425,3676.834,291.375,51.5348,8.6217,119.7511,1.528,0.2051,7.0039,31,59.0,177.0,259,364.0,489.0,635,12-Sep-16,20325007,,0.0,0.0,0.0,5.727798,2.367827,3.840653,1.0,0.1129118,0.7804925,0.0,0.0,0.0,5.727798,2.367827,3.840653,1.0,0.1129118,0.7804925,SCx,,,,,TJPC2
NA,Rounds123,33.4577154,-116.97102,9,SC,SCx,6.0,85.0,Xeric,Xeric,Nonperennial,0.0,0.0,0.0,0.0,0.9351,1.4081,0.0,0.0,0.0,0.0,0.05643597,0.2099013,0,0,0,0,0,0,0.0,1056,1550,0.0087,0.157,0,100.0,0,0.0,0,32935.1,2598,2.0,0.06336,0.02292,StreamRiver,Intermittent,TRUE,FALSE,TRUE,33.61713,494,4.3573,2.1258,0.0246,138.6306,-3.0646,0.0805,0.0306,0.4191,3.175,435.9481,2170.805,339.9,34.7,5.19,118.42,1.5815,0.213,6.8741,59,113.0,228.0,394,461.0,638.0,898,12-Sep-16,22549465,,0.0,0.0,0.0,0.0,0.940918,1.402795,0.0,0.00477623,0.00267709,0.0,0.0,0.0,0.0,0.940918,1.402795,0.0,0.00477623,0.00267709,SCx,,,,,SMAS1
NA,Rounds123,33.6481269,-117.69149,8,SC,SCx,6.0,85.0,Xeric,Xeric,Perennial,0.0,0.0,0.0,22.0408,25.4103,19.1094,77.0,60.0,45.0,14.55966,9.601688,8.17366,2,31,32,0,0,0,0.0,362,490,0.0817,0.112,23,0.0,0,100.0,0,30622.2,2441,2.0,0.40281,0.01732,StreamRiver,Intermittent,TRUE,FALSE,TRUE,11.16911,128,15.0176,5.3481,1.263,66.8777,-0.6514,0.0564,0.0315,0.3874,0.0,427.1154,477.2417,306.0667,33.0,6.0,37.6842,1.5189,0.2816,3.0682,228,391.0,589.0,831,954.8214,1163.0,1169,12-Sep-16,20355506,Stressed,0.0,0.0,0.0,20.61995,20.77218,16.53106,79.0,68.72934,50.39072,0.0,0.0,0.0,19.81132,19.56895,16.53106,79.0,69.93257,51.13188,SCx,,,,,SDSR1
NA,Rounds123,32.89028,-116.76306,9,SC,SCx,6.0,85.0,Xeric,Xeric,Perennial,0.0,0.0,0.0,1.036,0.6191,2.5172,0.0,0.0,0.0,0.0,0.07356558,0.49642757,0,0,17,0,0,0,0.0,1712,1972,0.005,0.1676,0,100.0,0,0.0,0,37379.19922,2478,4.0,0.92404,0.049,StreamRiver,Intermittent,TRUE,FALSE,TRUE,116.043988,260,5.1091,2.5162,0.0258,150.1003,-2.9835,0.1013,0.0313,0.4383,4.3897,589.7159,2065.1592,326.8529,44.2011,7.2821,82.1554,1.5814,0.2294,5.4487,57,100.0,300.0,394,461.0,638.0,776,12-Sep-16,20332804,Reference,0.0,0.0,0.0,0.8382643,0.58327451,2.45743319,0.0,0.0148605,0.08687895,0.0,0.0,0.0,0.8382643,0.58327451,2.45743319,0.0,0.0148605,0.08687895,SCx,,,,,907CONECR
NA,Rounds123,32.8636443,-116.50915,9,SC,SCx,6.0,8.0,Xeric,Mountain,Semiperennial,0.0,0.0,0.0,1.6523,2.3587,4.9022,0.0,0.0,1.0,0.3206481,0.969405,1.456121,1,5,7,0,0,2,0.0,737,1906,0.0115,0.1474,0,100.0,0,0.0,0,53969.5,2030,3.0,0.38458,0.03685,StreamRiver,Perennial,TRUE,FALSE,TRUE,39.39858,1169,3.9345,2.3317,0.031,140.7839,-2.0688,0.1118,0.0317,0.4501,5.4773,838.3932,3905.01,289.5,52.3415,8.8862,122.1219,1.5348,0.2022,7.212,30,53.0,172.0,256,349.5,461.0,634,12-Sep-16,20324991,Intermediate,0.0,0.0,0.0,1.647989,2.231668,4.555632,0.0,0.1062699,1.183459,0.0,0.0,0.0,1.647989,2.231668,4.555632,0.0,0.1062699,1.183459,SCx,,,,,911NCPCR2
NA,Rounds123,33.6185364,-117.50984,9,SC,SCx,6.0,85.0,Xeric,Xeric,Perennial,0.0,0.0,0.0,0.0,0.0,0.2987,0.0,0.0,0.0,0.0,0.4339602,0.7607136,0,0,0,0,0,0,0.0,1058,1372,0.0483,0.1299,0,79.81831,0,20.18146,0,35494.2,2473,2.0,0.35612,0.03994,StreamRiver,Intermittent,TRUE,FALSE,TRUE,19.58035,314,4.524,2.6155,0.0245,126.7482,-2.1085,0.0593,0.0314,0.3915,0.9565,528.9091,1045.193,326.7391,35.678,6.0678,65.6508,1.5676,0.2908,3.9149,75,200.0,349.0,406,495.6667,717.0,979,12-Sep-16,20348351,Reference,0.0,0.0,0.0,0.0,0.0,0.3263918,0.0,0.0,0.00919413,0.0,0.0,0.0,0.0,0.0,0.3263918,0.0,0.0,0.00919413,SCx,,,,,901SCCA74
NA,Rounds123,33.6359162,-117.61719,9,SC,SCx,6.0,85.0,Xeric,Xeric,Nonperennial,0.0,0.0,0.0,26.5931,20.2388,5.8086,56.0,34.0,8.0,8.201917,8.655681,2.199264,2,18,25,0,0,1,0.0,1497,1734,0.1593,0.1341,0,30.2091,0,69.79078,0,32544.6,2496,3.0,1.01131,0.01584,StreamRiver,Intermittent,TRUE,FALSE,TRUE,58.26357,237,4.3531,2.4847,0.2736,97.372,-0.7916,0.0577,0.0315,0.3893,0.8429,554.4961,1176.132,316.1429,39.3333,6.6497,59.7814,1.5635,0.2892,3.9928,75,196.0,332.0,400,498.9091,846.0,1140,12-Sep-16,20348259,Stressed,0.0,0.0,0.0,24.02439,19.86618,5.745049,58.0,34.41134,7.55399,0.0,0.0,0.0,23.29268,19.6989,5.745049,59.0,34.57862,7.587975,SCx,,,,,901TCSMP1
NA,Rounds123,33.2968568,-116.63839,9,SC,SCm,8.0,8.0,Mountain,Mountain,Nonperennial,0.0,0.0,0.0,0.0,0.1296,1.3241,0.0,0.0,0.0,0.0,0.04263921,0.4917044,0,0,5,0,0,0,0.0,1052,1970,0.0055,0.1544,0,100.0,0,0.0,0,43934.1,2355,2.0,0.15903,0.01779,StreamRiver,Intermittent,TRUE,FALSE,TRUE,46.0832,918,4.2439,2.1323,0.0259,144.6429,-2.729,0.0959,0.0307,0.4345,3.2963,554.4808,3184.088,300.1852,38.0071,6.15,105.8099,1.5537,0.1985,8.2002,75,100.0,218.0,382,441.0,637.0,871,12-Sep-16,20343195,Reference,0.0,0.0,0.0,0.0,0.122636,1.242066,0.0,0.00645453,0.07030563,0.0,0.0,0.0,0.0,0.122636,1.242066,0.0,0.00645453,0.07030563,SCm,,,,,903ACPCT1
