gdb_geomattr_data,shape,stationcode,sampledate,replicate,sampleid,finalid,lifestagecode,distinctcode,baresult,collectionmethodcode,record_origin,origin_lastupdatedate,StationCode,databasecode
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Lepidostoma,L,0,6,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Moselia infuscata,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Visoka cataractae,L,0,4,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Zapada,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Thienemannimyia,L,0,3,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Cricotopus,L,0,256,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Ameletus,L,0,21,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Corydalidae,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Calineuria californica,L,0,5,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Amiocentrus aspilus,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Polycelis,X,0,2,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Stempellinella,L,0,4,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Oligochaeta,X,0,3,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Zaitzevia,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Yoraperla,L,0,2,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Rhyacophila hyalinata,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Gumaga,L,0,2,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Drunella grandis,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Ironodes,L,0,6,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Rhyacophila alberta,L,0,2,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
