objectid,stationcode,wgtcode,database,new_lat,new_long,regionalboardnumber,psa6c,psa9c,eco_iii_1987,eco_iii_2010,eco_ii_1987,eco_ii_2010,flowstatus,ag_2000_1k,ag_2000_5k,ag_2000_ws,code_21_2000_1k,code_21_2000_5k,code_21_2000_ws,urban_2000_1k,urban_2000_5k,urban_2000_ws,roaddens_1k,roaddens_5k,roaddens_ws,paved_int_1k,paved_int_5k,paved_int_ws,permanmade_ws,invdamdist,mines_5k,gravelminedensl_r5k,elev_range,max_elev,n_mean,p_mean,pct_cenoz,pct_nosed,pct_quart,pct_sedim,pct_volcnc,ppt_00_09,temp_00_09,nhd_so,maflowu,nhdslope,ftype,nhdflow,sampled,bpj_nonref,active,area_sqkm,site_elev,cao_mean,mgo_mean,s_mean,ucs_mean,lprem_mean,atmca,atmmg,atmso4,minp_ws,meanp_ws,sumave_p,tmax_ws,xwd_ws,maxwd_ws,lst32ave,bdh_ave,kfct_ave,prmh_ave,condqr01,condqr05,condqr25,condqr50,condqr75,condqr95,condqr99,lastupdatedate,comid,sitestatus,ag_2006_1k,ag_2006_5k,ag_2006_ws,code_21_2006_1k,code_21_2006_5k,code_21_2006_ws,urban_2006_1k,urban_2006_5k,urban_2006_ws,ag_2011_1k,ag_2011_5k,ag_2011_ws,code_21_2011_1k,code_21_2011_5k,code_21_2011_ws,urban_2011_1k,urban_2011_5k,urban_2011_ws,psa10c,gdb_geomattr_data,shape,created_user,created_date,last_edited_user,last_edited_date,stationcode
782,NF508723-050,NF508723-050,Round4,39.6936052,-120.93656,5,SN,SNws,5.0,5.0,Mountain,Mountain,Unknown,0.0,0.0,0.0,0.0,1.51418407,0.95273316,0.0,0.0,0.0,0.0,0.3621767,0.6223115,0,2,11,0,0,3,0.0,1004,2349,0.0201,0.2212667,0,0.0,0,100.0,0,184862.0,1698,3.0,48.18697,0.01643,StreamRiver,Perennial,FALSE,FALSE,FALSE,51.10774,1345,6.852333,5.500333,0.02856667,140.2822,-0.4951333,0.04513333,0.02566667,0.2146,7.4407,1994.351,4370.242,265.1864,86.9026,12.3961,148.7922,1.126567,0.1897,5.4971,23,33.0,52.0,74,122.0,178.0,228,12-Sep-16,8057807,,0.0,0.0,0.0,0.0,1.392122,0.8649239,0.0,0.150623,0.1374014,0.0,0.0,0.0,0.0,1.392122,0.8649239,0.0,0.150623,0.1374014,SNws,,0101000020110F0000000080E2C7D8434000002041F13B5EC0,,,,,NF508723-050
783,NF508723-070,NF508723-070,Round4,39.5595763,-120.35406,5,SN,SNws,5.0,5.0,Mountain,Mountain,Unknown,0.0,0.0,0.0,5.35041447,1.08641771,0.6300226,5.0,1.0,1.0,2.095424,0.6346135,0.6121721,1,5,11,0,0,0,0.0,688,2274,0.1238667,0.2357,0,0.0,0,0.0,100,65034.1,1548,3.0,48.24459,0.0309,StreamRiver,Perennial,FALSE,FALSE,FALSE,60.15349,1586,4.93,2.806267,0.01756667,82.87493,-0.7721333,0.05163333,0.01763333,0.2043,11.3913,866.1151,3279.056,254.4058,77.617,10.8032,186.7398,1.335067,0.2171667,4.3059,21,34.0,72.0,117,150.0,207.0,302,12-Sep-16,8040831,,0.0,0.0,0.0,6.146927,1.253712,0.7098678,4.0,1.026889,0.605035,0.0,0.0,0.0,6.146927,1.253712,0.7098678,4.0,1.026889,0.605035,SNws,,0101000020110F0000000008F9A0C7434000000C93A9165EC0,,,,,NF508723-070
784,NF508723-072,NF508723-072,Round4,37.2338128,-119.13584,5,SN,SNws,5.0,5.0,Mountain,Mountain,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1013,3238,0.2660667,0.1508333,0,100.0,0,0.0,0,108343.7,1171,3.0,63.11369,0.07367,StreamRiver,Perennial,FALSE,FALSE,FALSE,94.18974,2225,2.877367,1.436067,0.02436667,109.1159,-1.517967,0.0448,0.01256667,0.2083667,3.4956,1161.967,2723.608,192.2832,75.5121,12.2007,175.1669,1.4761,0.1045667,15.8609,7,10.0,21.0,30,48.0,122.0,191,12-Sep-16,17115433,Reference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SNws,,0101000020110F000000009028ED9D424000007CF2B0C85DC0,,,,,NF508723-072
785,NF508723-073,NF508723-073,Round4,39.8425359,-121.15115,5,SN,SNws,5.0,5.0,Mountain,Mountain,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07773341,1.315471,1.315471,0,4,4,0,0,0,0.0,306,1935,0.02173333,0.1662667,0,0.0,0,100.0,0,200481.5,1668,2.0,2.856,0.02608,StreamRiver,Perennial,FALSE,FALSE,FALSE,8.258119,1629,4.7257,13.70593,0.0701,126.322,-0.8390333,0.04263333,0.02706667,0.2143333,7.75,2344.895,4562.739,263.625,101.037,14.7778,147.9143,1.506667,0.1662667,2.621333,20,34.0,68.0,111,159.0,240.0,400,12-Sep-16,8036867,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SNws,,0101000020110F00000000400AD7EB43400000549FAB495EC0,,,,,NF508723-073
787,NF508723-077,NF508723-077,Round4,40.418191,-120.90468,6,SN,SNws,5.0,4.0,Mountain,Mountain,Unknown,0.0,0.0,0.0,0.0,2.3941879,1.15299266,0.0,0.0,0.0,0.8417126,1.658759,2.195489,0,2,14,0,1,0,0.0,791,2456,0.0068,0.2816667,0,0.0,0,0.0,100,76120.5,1493,3.0,61.0426,0.00553,StreamRiver,Perennial,FALSE,FALSE,FALSE,231.9831,1665,6.764733,3.924433,0.0181,139.3814,-0.3242333,0.0412,0.01826667,0.1829333,11.5382,993.1155,3141.093,263.9636,75.271,10.2363,169.0281,1.414367,0.1489333,3.513533,26,35.0,78.0,102,153.0,228.0,358,12-Sep-16,20295535,,0.0,0.0,0.0,0.0,2.814414,1.245349,0.0,0.00551846,0.01086286,0.0,0.0,0.0,0.0,2.814414,1.245349,0.0,0.00551846,0.01086286,SNws,,0101000020110F00000000E093873544400000D49AE6395EC0,,,,,NF508723-077
788,NF508723-078,NF508723-078,Round4,38.6014528,-120.42046,5,SN,SNws,5.0,5.0,Mountain,Mountain,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02084144,0.02100017,0.01635722,0,0,0,0,0,0,0.0,450,1850,0.0094,0.2281,0,0.0,0,0.0,100,118662.2,1861,2.0,8.84272,0.03079,StreamRiver,Perennial,FALSE,FALSE,FALSE,11.15459,1400,4.9846,2.623533,0.0184,96.03427,-1.075667,0.0526,0.0207,0.2357333,6.7857,1366.704,3173.828,290.6429,77.8857,11.0,136.9542,0.9540667,0.1357,4.8978,21,27.0,47.0,99,131.5,242.0,364,12-Sep-16,20195400,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SNws,,0101000020110F00000000B8F3FD4C43400000D478E91A5EC0,,,,,NF508723-078
988,NF508723-003,NF508723-003,Round4,37.9944238,-120.19264,5,SN,SNws,5.0,5.0,Mountain,Mountain,Unknown,0.0,0.0,0.0,0.0,0.0,2.26111197,0.0,0.0,0.0,1.45472,0.7150617,1.433538,0,10,53,0,0,5,0.0,1745,2486,0.04306667,0.1465,0,0.0,0,81.83253,18,104093.3,2000,4.0,44.52182,0.01673,StreamRiver,Perennial,FALSE,FALSE,FALSE,168.5231,741,5.1305,2.1819,0.0427,139.0255,-1.215067,0.0376,0.0114,0.1928333,5.5392,1092.629,2130.065,295.4804,64.1099,9.5289,132.5662,1.3363,0.2295,2.846033,20,23.0,36.0,53,123.0,259.0,441,12-Sep-16,17077849,,0.0,0.0,0.0,0.0,0.0,2.260225,0.0,0.0,0.5474316,0.0,0.0,0.0,0.0,0.0,2.260225,0.0,0.0,0.5479657,SNws,,0101000020110F00000000C87F48FF42400000F48E530C5EC0,,,,,NF508723-003
991,NF508723-024,NF508723-024,Round4,37.4147299,-118.9167,5,SN,SNws,5.0,5.0,Mountain,Mountain,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1747,4172,0.00943333,0.1773667,0,100.0,0,0.0,0,100004.0,1030,3.0,93.17403,0.03708,StreamRiver,Perennial,FALSE,FALSE,FALSE,135.9341,2425,3.9743,1.8605,0.02633333,151.7149,-1.673567,0.04816667,0.01243333,0.2129667,3.8698,1124.645,2428.418,173.0237,88.3824,13.0903,192.3908,1.399,0.1028,13.9329,7,8.0,10.0,18,30.0,70.0,151,12-Sep-16,17118245,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SNws,,0101000020110F00000000C0E314B5424000007C36ABBA5DC0,,,,,NF508723-024
1064,NF508723-033,NF508723-033,Round4,40.2463687,-121.4076,5,SN,SNws,5.0,4.0,Mountain,Mountain,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2785007,0.2349837,0,0,0,0,0,0,0.0,844,2393,0.1844667,0.2452333,0,0.0,0,0.0,100,113036.0,1573,2.0,8.93334,0.09788,StreamRiver,Perennial,FALSE,FALSE,FALSE,11.20378,1549,5.4831,3.308033,0.01956667,111.0201,-0.4876667,0.03853333,0.022,0.1891333,10.8,1676.464,5680.251,243.9333,95.4324,13.1892,168.6115,1.027433,0.16,5.753,15,28.0,43.0,65,82.0,144.0,191,12-Sep-16,8021344,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SNws,,0101000020110F0000000000098A1F44400000501E165A5EC0,,,,,NF508723-033
1065,NF508723-038,NF508723-038,Round4,39.5031885,-120.48724,5,SN,SNws,5.0,5.0,Mountain,Mountain,Unknown,0.0,0.0,0.0,6.5199674,1.57280342,1.50168035,0.0,0.0,0.0,2.566303,1.384072,1.365401,0,4,4,0,0,0,0.0,496,2490,0.5377,0.1521,0,98.99626,0,1.00374,0,150351.7,1431,2.0,22.48151,0.02354,StreamRiver,Perennial,FALSE,FALSE,FALSE,21.15157,1994,2.3268,1.440033,0.0199,43.14217,-1.046233,0.0498,0.01953333,0.2060667,14.25,1551.122,4639.061,222.6429,97.3582,13.5672,181.5573,1.3476,0.1437,5.9077,7,14.0,40.0,56,82.0,138.0,209,12-Sep-16,8058663,,0.0,0.0,0.0,6.219313,1.478644,1.412105,0.0,0.03562998,0.03402663,0.0,0.0,0.0,6.219313,1.478644,1.412105,0.0,0.03562998,0.03402663,SNws,,0101000020110F0000000088DB68C043400000E8482E1F5EC0,,,,,NF508723-038
