gdb_geomattr_data,shape,SampleDate,FieldReplicate,SampleID,FinalID,LifeStageCode,Distinct,BAResult,CollectionMethodCode,record_origin,origin_lastupdatedate,DatabaseCode
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Orohermes crepusculus,L,0,1,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Hygrobates,X,0,3,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Rhyacophila brunnea group,L,0,1,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Turbellaria,X,0,6,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Aturus,X,0,1,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Prostoma,X,0,1,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Diphetor hageni,L,0,2,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Rhithrogena,L,0,23,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Ephemerella,L,0,11,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Orthocladiinae,L,0,2,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Ordobrevia nubifera,L,0,1,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Eubrianax edwardsii,L,0,1,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Heptageniidae,L,0,2,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Diphetor hageni,L,0,1,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Thienemanniella,L,0,2,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Isoperla,L,0,4,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Arctopsyche californica,L,0,2,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Parametriocnemus,L,0,1,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Caudatella,L,0,1,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Perlodidae,L,0,5,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Corynoneura,L,0,1,BMI_TRC,SWAMP,2015-11-05,SWAMP
