gdb_geomattr_data,shape,SampleDate,FieldReplicate,SampleID,FinalID,LifeStageCode,Distinct,BAResult,CollectionMethodCode,record_origin,origin_lastupdatedate,StationCode,DatabaseCode
,,2010-10-05,1,111SF1944_10052010_BMI_RWB1_SFEel_1,Hemerodromia,L,0,1,BMI_RWB1_SFEel,SWAMP,2012-02-01,111SF1944,SWAMP
,,2010-07-15,1,111SF1944_07152010_BMI_RWB1_SFEel_1,Baetis tricaudatus,L,0,21,BMI_RWB1_SFEel,SWAMP,2012-02-01,111SF1944,SWAMP
,,2010-08-24,2,111SF1944_08242010_BMI_RWB1_SFEel_2,Isonychia velma,L,0,1,BMI_RWB1_SFEel,SWAMP,2012-02-01,111SF1944,SWAMP
,,2010-10-05,1,111SF1944_10052010_BMI_RWB1_SFEel_1,Pseudochironomus,L,0,5,BMI_RWB1_SFEel,SWAMP,2012-02-01,111SF1944,SWAMP
,,2010-10-05,1,111SF1944_10052010_BMI_RWB1_SFEel_1,Hydrodroma,X,0,1,BMI_RWB1_SFEel,SWAMP,2012-02-01,111SF1944,SWAMP
,,2010-08-24,2,111SF1944_08242010_BMI_RWB1_SFEel_2,Robackia demeijerei,L,0,1,BMI_RWB1_SFEel,SWAMP,2012-02-01,111SF1944,SWAMP
,,2010-08-24,1,111SF1944_08242010_BMI_RWB1_SFEel_1,Limnophyes,P,0,1,BMI_RWB1_SFEel,SWAMP,2012-02-01,111SF1944,SWAMP
,,2010-08-24,2,111SF1944_08242010_BMI_RWB1_SFEel_2,Lopescladius,L,0,2,BMI_RWB1_SFEel,SWAMP,2012-02-01,111SF1944,SWAMP
,,2010-08-24,2,111SF1944_08242010_BMI_RWB1_SFEel_2,Ophiogomphus,L,0,1,BMI_RWB1_SFEel,SWAMP,2012-02-01,111SF1944,SWAMP
,,2010-08-24,1,111SF1944_08242010_BMI_RWB1_SFEel_1,Orthocladius complex,L,0,6,BMI_RWB1_SFEel,SWAMP,2012-02-01,111SF1944,SWAMP
,,2010-07-15,1,111SF1944_07152010_BMI_RWB1_SFEel_1,Antocha monticola,L,0,1,BMI_RWB1_SFEel,SWAMP,2012-02-01,111SF1944,SWAMP
,,2010-10-05,1,111SF1944_10052010_BMI_RWB1_SFEel_1,Paraleptophlebia,L,0,2,BMI_RWB1_SFEel,SWAMP,2012-02-01,111SF1944,SWAMP
,,2010-10-05,1,111SF1944_10052010_BMI_RWB1_SFEel_1,Libellulidae,L,0,2,BMI_RWB1_SFEel,SWAMP,2012-02-01,111SF1944,SWAMP
,,2010-08-24,1,111SF1944_08242010_BMI_RWB1_SFEel_1,Cheumatopsyche,L,0,5,BMI_RWB1_SFEel,SWAMP,2012-02-01,111SF1944,SWAMP
,,2010-07-15,1,111SF1944_07152010_BMI_RWB1_SFEel_1,Hydroptilidae,P,0,4,BMI_RWB1_SFEel,SWAMP,2012-02-01,111SF1944,SWAMP
,,2010-10-05,1,111SF1944_10052010_BMI_RWB1_SFEel_1,Polypedilum,L,0,8,BMI_RWB1_SFEel,SWAMP,2012-02-01,111SF1944,SWAMP
