gdb_geomattr_data,shape,SampleDate,FieldReplicate,SampleID,FinalID,LifeStageCode,Distinct,BAResult,CollectionMethodCode,record_origin,origin_lastupdatedate,StationCode,DatabaseCode
,,2001-08-29,1,523WE0512_08292001_BMI_CSBP_Trans_1,Heptageniidae,L,0,16,BMI_CSBP_Trans,SWAMP,2012-10-04,523WE0512,SWAMP
,,2001-08-29,1,523WE0512_08292001_BMI_CSBP_Trans_1,Petrophila,L,0,9,BMI_CSBP_Trans,SWAMP,2012-10-04,523WE0512,SWAMP
,,2001-08-29,1,523WE0512_08292001_BMI_CSBP_Trans_1,Limnophila,L,0,1,BMI_CSBP_Trans,SWAMP,2012-10-04,523WE0512,SWAMP
,,2001-08-29,1,523WE0512_08292001_BMI_CSBP_Trans_1,Optioservus,A,0,1,BMI_CSBP_Trans,SWAMP,2012-10-04,523WE0512,SWAMP
,,2001-08-29,1,523WE0512_08292001_BMI_CSBP_Trans_1,Caloparyphus/ Euparyphus,L,0,1,BMI_CSBP_Trans,SWAMP,2012-10-04,523WE0512,SWAMP
,,2001-08-29,1,523WE0512_08292001_BMI_CSBP_Trans_1,Ordobrevia nubifera,L,0,1,BMI_CSBP_Trans,SWAMP,2012-10-04,523WE0512,SWAMP
,,2001-08-29,1,523WE0512_08292001_BMI_CSBP_Trans_1,Oecetis,L,0,1,BMI_CSBP_Trans,SWAMP,2012-10-04,523WE0512,SWAMP
,,2001-08-29,1,523WE0512_08292001_BMI_CSBP_Trans_1,Polypedilum,L,0,98,BMI_CSBP_Trans,SWAMP,2012-10-04,523WE0512,SWAMP
,,2001-08-29,1,523WE0512_08292001_BMI_CSBP_Trans_1,Calineuria californica,L,0,4,BMI_CSBP_Trans,SWAMP,2012-10-04,523WE0512,SWAMP
,,2001-08-29,1,523WE0512_08292001_BMI_CSBP_Trans_1,Argia,L,0,3,BMI_CSBP_Trans,SWAMP,2012-10-04,523WE0512,SWAMP
,,2001-08-29,1,523WE0512_08292001_BMI_CSBP_Trans_1,Zaitzevia,L,0,3,BMI_CSBP_Trans,SWAMP,2012-10-04,523WE0512,SWAMP
,,2001-08-29,1,523WE0512_08292001_BMI_CSBP_Trans_1,Rheotanytarsus,L,0,17,BMI_CSBP_Trans,SWAMP,2012-10-04,523WE0512,SWAMP
