SampleDate,CollectionMethodCode,agencycode,FieldReplicate,SampleID,benthiccollectioncomments,grabsize,percentsamplecounted,totalgrids,gridsanalyzed,gridsvolumeanalyzed,targetorganismcount,actualorganismcount,extraorganismcount,qcorganismcount,discardedorganismcount,benthiclabeffortcomments,FinalID,LifeStageCode,Distinct,BAResult,resqualcode,qacode,taxonomicqualifier,personnelcode_labeffort,personnelcode_results,labsampleid,objectid,record_origin,record_publish,StationCode,DatabaseCode
2016-06-28,BMI_RWB,ABCL,1,SMC00027_06282016_BMI_RWB_1,,11.000,10.00,20,2,2.000,600,587,2,1,0,1/2 in. x 1/2 in.,Alotanypus,L,1,6,,None,,Charis Samia,Kurt King,VCF0616.025,1531502474,SMC,true,403BA0027,SMC
2016-06-28,BMI_RWB,ABCL,1,SMC00027_06282016_BMI_RWB_1,,11.000,10.00,20,2,2.000,600,587,2,1,0,1/2 in. x 1/2 in.,Anopheles,L,1,7,,None,,Charis Samia,Wendy Willis,VCF0616.025,1531502475,SMC,true,403BA0027,SMC
2016-06-28,BMI_RWB,ABCL,1,SMC00027_06282016_BMI_RWB_1,,11.000,10.00,20,2,2.000,600,587,2,1,0,1/2 in. x 1/2 in.,Apedilum,L,1,21,,None,,Charis Samia,Kurt King,VCF0616.025,1531502476,SMC,true,403BA0027,SMC
2016-06-28,BMI_RWB,ABCL,1,SMC00027_06282016_BMI_RWB_1,,11.000,10.00,20,2,2.000,600,587,2,1,0,1/2 in. x 1/2 in.,Apedilum,P,1,1,,None,,Charis Samia,Kurt King,VCF0616.025,1531502477,SMC,true,403BA0027,SMC
2016-06-28,BMI_RWB,ABCL,1,SMC00027_06282016_BMI_RWB_1,,11.000,10.00,20,2,2.000,600,587,2,1,0,1/2 in. x 1/2 in.,Archilestes,L,1,4,,None,,Charis Samia,Wendy Willis,VCF0616.025,1531502478,SMC,true,403BA0027,SMC
2016-06-28,BMI_RWB,ABCL,1,SMC00027_06282016_BMI_RWB_1,,11.000,10.00,20,2,2.000,600,587,2,1,0,1/2 in. x 1/2 in.,Atrichopogon,L,1,1,,None,,Charis Samia,Wendy Willis,VCF0616.025,1531502479,SMC,true,403BA0027,SMC
2016-06-28,BMI_RWB,ABCL,1,SMC00027_06282016_BMI_RWB_1,,11.000,10.00,20,2,2.000,600,587,2,1,0,1/2 in. x 1/2 in.,Berosus,A,1,3,,None,,Charis Samia,Wendy Willis,VCF0616.025,1531502480,SMC,true,403BA0027,SMC
2016-06-28,BMI_RWB,ABCL,1,SMC00027_06282016_BMI_RWB_1,,11.000,10.00,20,2,2.000,600,587,2,1,0,1/2 in. x 1/2 in.,Bezzia/ Palpomyia,L,1,2,,None,,Charis Samia,Wendy Willis,VCF0616.025,1531502481,SMC,true,403BA0027,SMC
2016-06-28,BMI_RWB,ABCL,1,SMC00027_06282016_BMI_RWB_1,,11.000,10.00,20,2,2.000,600,587,2,1,0,1/2 in. x 1/2 in.,Callibaetis,L,1,18,,None,,Charis Samia,Wendy Willis,VCF0616.025,1531502482,SMC,true,403BA0027,SMC
2016-06-28,BMI_RWB,ABCL,1,SMC00027_06282016_BMI_RWB_1,,11.000,10.00,20,2,2.000,600,587,2,1,0,1/2 in. x 1/2 in.,Ceratopogon,L,1,14,,None,,Charis Samia,Wendy Willis,VCF0616.025,1531502483,SMC,true,403BA0027,SMC
2016-06-28,BMI_RWB,ABCL,1,SMC00027_06282016_BMI_RWB_1,,11.000,10.00,20,2,2.000,600,587,2,1,0,1/2 in. x 1/2 in.,Ceratopogonidae,P,0,4,,None,,Charis Samia,Wendy Willis,VCF0616.025,1531502484,SMC,true,403BA0027,SMC
2016-06-28,BMI_RWB,ABCL,1,SMC00027_06282016_BMI_RWB_1,,11.000,10.00,20,2,2.000,600,587,2,1,0,1/2 in. x 1/2 in.,Dasyhelea,L,1,19,,None,,Charis Samia,Wendy Willis,VCF0616.025,1531502485,SMC,true,403BA0027,SMC
2016-06-28,BMI_RWB,ABCL,1,SMC00027_06282016_BMI_RWB_1,,11.000,10.00,20,2,2.000,600,587,2,1,0,1/2 in. x 1/2 in.,Dytiscinae,L,0,1,,None,I,Charis Samia,Wendy Willis,VCF0616.025,1531502486,SMC,true,403BA0027,SMC
2016-06-28,BMI_RWB,ABCL,1,SMC00027_06282016_BMI_RWB_1,,11.000,10.00,20,2,2.000,600,587,2,1,0,1/2 in. x 1/2 in.,Enochrus,L,1,1,,None,,Charis Samia,Wendy Willis,VCF0616.025,1531502487,SMC,true,403BA0027,SMC
2016-06-28,BMI_RWB,ABCL,1,SMC00027_06282016_BMI_RWB_1,,11.000,10.00,20,2,2.000,600,587,2,1,0,1/2 in. x 1/2 in.,Gyraulus,X,1,343,,None,,Charis Samia,Wendy Willis,VCF0616.025,1531502488,SMC,true,403BA0027,SMC
2016-06-28,BMI_RWB,ABCL,1,SMC00027_06282016_BMI_RWB_1,,11.000,10.00,20,2,2.000,600,587,2,1,0,1/2 in. x 1/2 in.,Laccobius,A,1,1,,None,,Charis Samia,Wendy Willis,VCF0616.025,1531502489,SMC,true,403BA0027,SMC
2016-06-28,BMI_RWB,ABCL,1,SMC00027_06282016_BMI_RWB_1,,11.000,10.00,20,2,2.000,600,587,2,1,0,1/2 in. x 1/2 in.,Laccobius,L,1,3,,None,,Charis Samia,Wendy Willis,VCF0616.025,1531502490,SMC,true,403BA0027,SMC
2016-06-28,BMI_RWB,ABCL,1,SMC00027_06282016_BMI_RWB_1,,11.000,10.00,20,2,2.000,600,587,2,1,0,1/2 in. x 1/2 in.,Limnophyes,L,1,1,,None,,Charis Samia,Kurt King,VCF0616.025,1531502491,SMC,true,403BA0027,SMC
2016-06-28,BMI_RWB,ABCL,1,SMC00027_06282016_BMI_RWB_1,,11.000,10.00,20,2,2.000,600,587,2,1,0,1/2 in. x 1/2 in.,Odontomyia/ Hedriodiscus,L,1,7,,None,,Charis Samia,Wendy Willis,VCF0616.025,1531502492,SMC,true,403BA0027,SMC
2016-06-28,BMI_RWB,ABCL,1,SMC00027_06282016_BMI_RWB_1,,11.000,10.00,20,2,2.000,600,587,2,1,0,1/2 in. x 1/2 in.,Oligochaeta,X,1,2,,None,,Charis Samia,Wendy Willis,VCF0616.025,1531502493,SMC,true,403BA0027,SMC
2016-06-28,BMI_RWB,ABCL,1,SMC00027_06282016_BMI_RWB_1,,11.000,10.00,20,2,2.000,600,587,2,1,0,1/2 in. x 1/2 in.,Ostracoda,X,1,1,,None,I,Charis Samia,Wendy Willis,VCF0616.025,1531502494,SMC,true,403BA0027,SMC
2016-06-28,BMI_RWB,ABCL,1,SMC00027_06282016_BMI_RWB_1,,11.000,10.00,20,2,2.000,600,587,2,1,0,1/2 in. x 1/2 in.,Paramerina,L,1,74,,None,,Charis Samia,Kurt King,VCF0616.025,1531502495,SMC,true,403BA0027,SMC
2016-06-28,BMI_RWB,ABCL,1,SMC00027_06282016_BMI_RWB_1,,11.000,10.00,20,2,2.000,600,587,2,1,0,1/2 in. x 1/2 in.,Paramerina,P,1,4,,None,,Charis Samia,Kurt King,VCF0616.025,1531502496,SMC,true,403BA0027,SMC
2016-06-28,BMI_RWB,ABCL,1,SMC00027_06282016_BMI_RWB_1,,11.000,10.00,20,2,2.000,600,587,2,1,0,1/2 in. x 1/2 in.,Paratanytarsus,L,1,11,,None,,Charis Samia,Kurt King,VCF0616.025,1531502497,SMC,true,403BA0027,SMC
2016-06-28,BMI_RWB,ABCL,1,SMC00027_06282016_BMI_RWB_1,,11.000,10.00,20,2,2.000,600,587,2,1,0,1/2 in. x 1/2 in.,Paratanytarsus,P,1,1,,None,,Charis Samia,Kurt King,VCF0616.025,1531502498,SMC,true,403BA0027,SMC
2016-06-28,BMI_RWB,ABCL,1,SMC00027_06282016_BMI_RWB_1,,11.000,10.00,20,2,2.000,600,587,2,1,0,1/2 in. x 1/2 in.,Pericoma/ Telmatoscopus,L,1,2,,None,,Charis Samia,Wendy Willis,VCF0616.025,1531502499,SMC,true,403BA0027,SMC
2016-06-28,BMI_RWB,ABCL,1,SMC00027_06282016_BMI_RWB_1,,11.000,10.00,20,2,2.000,600,587,2,1,0,1/2 in. x 1/2 in.,Polypedilum,L,1,10,,None,,Charis Samia,Kurt King,VCF0616.025,1531502500,SMC,true,403BA0027,SMC
2016-06-28,BMI_RWB,ABCL,1,SMC00027_06282016_BMI_RWB_1,,11.000,10.00,20,2,2.000,600,587,2,1,0,1/2 in. x 1/2 in.,Psectrocladius,L,1,4,,None,,Charis Samia,Kurt King,VCF0616.025,1531502501,SMC,true,403BA0027,SMC
2016-06-28,BMI_RWB,ABCL,1,SMC00027_06282016_BMI_RWB_1,,11.000,10.00,20,2,2.000,600,587,2,1,0,1/2 in. x 1/2 in.,Pseudochironomus,L,1,1,,None,,Charis Samia,Kurt King,VCF0616.025,1531502502,SMC,true,403BA0027,SMC
2016-06-28,BMI_RWB,ABCL,1,SMC00027_06282016_BMI_RWB_1,,11.000,10.00,20,2,2.000,600,587,2,1,0,1/2 in. x 1/2 in.,Pseudosmittia,L,1,13,,None,,Charis Samia,Kurt King,VCF0616.025,1531502503,SMC,true,403BA0027,SMC
2016-06-28,BMI_RWB,ABCL,1,SMC00027_06282016_BMI_RWB_1,,11.000,10.00,20,2,2.000,600,587,2,1,0,1/2 in. x 1/2 in.,Sanfilippodytes,L,1,1,,None,,Charis Samia,Wendy Willis,VCF0616.025,1531502504,SMC,true,403BA0027,SMC
2016-06-28,BMI_RWB,ABCL,1,SMC00027_06282016_BMI_RWB_1,,11.000,10.00,20,2,2.000,600,587,2,1,0,1/2 in. x 1/2 in.,Stictotarsus,A,1,1,,None,,Charis Samia,Wendy Willis,VCF0616.025,1531502505,SMC,true,403BA0027,SMC
2016-06-28,BMI_RWB,ABCL,1,SMC00027_06282016_BMI_RWB_1,,11.000,10.00,20,2,2.000,600,587,2,1,0,1/2 in. x 1/2 in.,Tipula,L,1,1,,None,,Charis Samia,Wendy Willis,VCF0616.025,1531502506,SMC,true,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Alotanypus,L,1,1,=,None,None,Tina Deleon,Kurt King,VCF0617.142,1531502507,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Anopheles,L,1,15,=,None,None,Tina Deleon,Wendy Willis,VCF0617.142,1531502508,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Apedilum,L,1,51,=,None,None,Tina Deleon,Kurt King,VCF0617.142,1531502509,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Apedilum,P,1,1,=,None,None,Tina Deleon,Kurt King,VCF0617.142,1531502510,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Archilestes,L,1,2,=,None,None,Tina Deleon,Wendy Willis,VCF0617.142,1531502511,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Argia,L,1,1,=,None,None,Tina Deleon,Wendy Willis,VCF0617.142,1531502512,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Atractides,X,1,2,=,None,None,Tina Deleon,Wendy Willis,VCF0617.142,1531502513,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Axonopsis,X,1,1,=,None,None,Tina Deleon,Wendy Willis,VCF0617.142,1531502514,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Baetis,L,1,3,=,None,None,Tina Deleon,Wendy Willis,VCF0617.142,1531502515,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Berosus,L,1,1,=,None,None,Tina Deleon,Wendy Willis,VCF0617.142,1531502516,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Bezzia/ Palpomyia,L,1,2,=,None,None,Tina Deleon,Wendy Willis,VCF0617.142,1531502517,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Callibaetis,L,1,35,=,None,None,Tina Deleon,Wendy Willis,VCF0617.142,1531502518,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Caloparyphus/ Euparyphus,L,1,15,=,None,None,Tina Deleon,Wendy Willis,VCF0617.142,1531502519,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Corynoneura,L,1,6,=,None,None,Tina Deleon,Kurt King,VCF0617.142,1531502520,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Cricotopus,L,1,39,=,None,None,Tina Deleon,Kurt King,VCF0617.142,1531502521,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Culicoides,L,1,6,=,None,None,Tina Deleon,Wendy Willis,VCF0617.142,1531502522,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Dasyhelea,L,1,2,=,None,None,Tina Deleon,Wendy Willis,VCF0617.142,1531502523,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Dicrotendipes,L,1,11,=,None,None,Tina Deleon,Kurt King,VCF0617.142,1531502524,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Dixella,L,1,1,=,None,None,Tina Deleon,Wendy Willis,VCF0617.142,1531502525,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Gyraulus,X,1,34,=,None,None,Tina Deleon,Wendy Willis,VCF0617.142,1531502526,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Hydrochara,L,1,3,=,None,None,Tina Deleon,Wendy Willis,VCF0617.142,1531502527,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Ilybius,L,1,1,=,None,None,Tina Deleon,Wendy Willis,VCF0617.142,1531502528,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Labrundinia,L,1,25,=,None,None,Tina Deleon,Kurt King,VCF0617.142,1531502529,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Labrundinia,P,1,2,=,None,None,Tina Deleon,Kurt King,VCF0617.142,1531502530,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Larsia,L,1,10,=,None,None,Tina Deleon,Kurt King,VCF0617.142,1531502531,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Lebertia,X,1,2,=,None,None,Tina Deleon,Wendy Willis,VCF0617.142,1531502532,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Lepidostoma,L,1,73,=,None,None,Tina Deleon,Wendy Willis,VCF0617.142,1531502533,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Micropsectra,L,1,61,=,None,None,Tina Deleon,Kurt King,VCF0617.142,1531502534,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Microtendipes,L,1,1,=,None,None,Tina Deleon,Kurt King,VCF0617.142,1531502535,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Oligochaeta,X,1,14,=,None,None,Tina Deleon,Wendy Willis,VCF0617.142,1531502536,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Ostracoda,X,1,11,=,None,None,Tina Deleon,Wendy Willis,VCF0617.142,1531502537,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Paramerina,L,1,1,=,None,None,Tina Deleon,Kurt King,VCF0617.142,1531502538,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Parametriocnemus,L,1,19,=,None,None,Tina Deleon,Kurt King,VCF0617.142,1531502539,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Peltodytes,L,1,3,=,None,None,Tina Deleon,Wendy Willis,VCF0617.142,1531502540,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Pentaneura,L,1,40,=,None,None,Tina Deleon,Kurt King,VCF0617.142,1531502541,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Pentaneura,P,1,1,=,None,None,Tina Deleon,Kurt King,VCF0617.142,1531502542,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Procladius,L,1,11,=,None,None,Tina Deleon,Kurt King,VCF0617.142,1531502543,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Psectrocladius,L,1,1,=,None,None,Tina Deleon,Kurt King,VCF0617.142,1531502544,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Rheotanytarsus,L,1,26,=,None,None,Tina Deleon,Kurt King,VCF0617.142,1531502545,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Rheotanytarsus,P,1,1,=,None,None,Tina Deleon,Kurt King,VCF0617.142,1531502546,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Sanfilippodytes,A,1,2,=,None,None,Tina Deleon,Wendy Willis,VCF0617.142,1531502547,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Sanfilippodytes,L,1,13,=,None,None,Tina Deleon,Wendy Willis,VCF0617.142,1531502548,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Sialis,L,1,1,=,None,None,Tina Deleon,Wendy Willis,VCF0617.142,1531502549,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Sperchon,X,1,2,=,None,None,Tina Deleon,Wendy Willis,VCF0617.142,1531502550,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Stictotarsus,A,1,6,=,None,None,Tina Deleon,Wendy Willis,VCF0617.142,1531502551,SMC,false,403BA0027,SMC
2017-06-13,BMI_RWB,ABCL,1,SMC00027_06132017_BMI_RWB_1,,0.500,67.00,6,4,4.000,600,588,55,0,0,,Stictotarsus,L,1,3,=,None,None,Tina Deleon,Wendy Willis,VCF0617.142,1531502552,SMC,false,403BA0027,SMC
