SampleDate,CollectionMethodCode,FieldReplicate,SampleID,FinalID,LifeStageCode,Distinct,BAResult,origin_lastupdatedate,record_publish,record_origin,StationCode,DatabaseCode
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Hydropsyche,L,1,53,2018-06-05,true,SWAMP,801CYC398,SWAMP
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Optioservus,L,1,15,2018-06-05,true,SWAMP,801CYC398,SWAMP
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Baetis,L,1,4,2018-06-05,true,SWAMP,801CYC398,SWAMP
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Rheocricotopus,L,1,2,2018-06-05,true,SWAMP,801CYC398,SWAMP
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Rheotanytarsus,L,1,39,2018-06-05,true,SWAMP,801CYC398,SWAMP
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Eukiefferiella,L,1,52,2018-06-05,true,SWAMP,801CYC398,SWAMP
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Helicopsyche,L,1,10,2018-06-05,true,SWAMP,801CYC398,SWAMP
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Cricotopus,L,0,34,2018-06-05,true,SWAMP,801CYC398,SWAMP
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Parametriocnemus,L,1,77,2018-06-05,true,SWAMP,801CYC398,SWAMP
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Hemerodromia,L,1,5,2018-06-05,true,SWAMP,801CYC398,SWAMP
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Hydroptila,L,1,5,2018-06-05,true,SWAMP,801CYC398,SWAMP
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Microtendipes,L,1,4,2018-06-05,true,SWAMP,801CYC398,SWAMP
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Ophiogomphus,L,1,1,2018-06-05,true,SWAMP,801CYC398,SWAMP
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Neoplasta,L,1,2,2018-06-05,true,SWAMP,801CYC398,SWAMP
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Chironomidae,P,0,1,2018-06-05,true,SWAMP,801CYC398,SWAMP
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Polypedilum,L,1,18,2018-06-05,true,SWAMP,801CYC398,SWAMP
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Parametriocnemus,P,1,2,2018-06-05,true,SWAMP,801CYC398,SWAMP
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Cricotopus trifascia group,L,1,6,2018-06-05,true,SWAMP,801CYC398,SWAMP
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Pisidium,X,1,1,2018-06-05,true,SWAMP,801CYC398,SWAMP
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Micrasema,L,1,119,2018-06-05,true,SWAMP,801CYC398,SWAMP
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Argia,L,1,8,2018-06-05,true,SWAMP,801CYC398,SWAMP
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Brillia,L,1,5,2018-06-05,true,SWAMP,801CYC398,SWAMP
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Microcylloepus,L,1,16,2018-06-05,true,SWAMP,801CYC398,SWAMP
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Hydropsychidae,L,0,4,2018-06-05,true,SWAMP,801CYC398,SWAMP
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Sperchon,X,1,10,2018-06-05,true,SWAMP,801CYC398,SWAMP
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Eukiefferiella,P,1,2,2018-06-05,true,SWAMP,801CYC398,SWAMP
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Tvetenia bavarica group,L,1,9,2018-06-05,true,SWAMP,801CYC398,SWAMP
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Simulium canadense,L,1,2,2018-06-05,true,SWAMP,801CYC398,SWAMP
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Ochrotrichia,L,1,8,2018-06-05,true,SWAMP,801CYC398,SWAMP
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Corynoneura,L,1,1,2018-06-05,true,SWAMP,801CYC398,SWAMP
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Oligochaeta,X,1,20,2018-06-05,true,SWAMP,801CYC398,SWAMP
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Psephenus,L,1,1,2018-06-05,true,SWAMP,801CYC398,SWAMP
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Postelichus,A,1,1,2018-06-05,true,SWAMP,801CYC398,SWAMP
2016-06-09,BMI_RWB,1,801CYC398_06092016_BMI_RWB_1,Torrenticola,X,1,2,2018-06-05,true,SWAMP,801CYC398,SWAMP
