BAResult,CollectionMethodCode,Distinct,FinalID,LifeStageCode,origin_lastupdatedate,record_origin,record_publish,FieldReplicate,SampleDate,SampleID,StationCode,DatabaseCode
4,BMI_RWB,1,Ablabesmyia,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
2,BMI_RWB,1,Alotanypus,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
48,BMI_RWB,1,Argia,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
1,BMI_RWB,1,Arrenurus,X,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
1,BMI_RWB,1,Callibaetis,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
4,BMI_RWB,1,Corynoneura,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
9,BMI_RWB,1,Cricotopus,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
3,BMI_RWB,1,Dasyhelea,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
1,BMI_RWB,1,Dixa,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
1,BMI_RWB,1,Empididae,P,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
6,BMI_RWB,1,Eukiefferiella,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
53,BMI_RWB,1,Fallceon,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
2,BMI_RWB,1,Hetaerina americana,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
2,BMI_RWB,1,Hyalella,X,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
2,BMI_RWB,1,Hydropsyche,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
