SampleDate,CollectionMethodCode,FieldReplicate,SampleID,FinalID,LifeStageCode,Distinct,BAResult,origin_lastupdatedate,record_publish,record_origin,StationCode,DatabaseCode
2005-09-13,BMI_RWB_MCM,3,201RDW060_09132005_BMI_RWB_MCM_3,Lebertia,X,0,10,2012-03-08,true,SWAMP,201RDW060,SWAMP
2005-09-13,BMI_RWB_MCM,3,201RDW060_09132005_BMI_RWB_MCM_3,Ameletus,L,0,8,2012-03-08,true,SWAMP,201RDW060,SWAMP
2005-09-13,BMI_RWB_MCM,3,201RDW060_09132005_BMI_RWB_MCM_3,Wandesia,X,0,1,2012-03-08,true,SWAMP,201RDW060,SWAMP
2005-09-13,BMI_RWB_MCM,3,201RDW060_09132005_BMI_RWB_MCM_3,Oreodytes,A,0,5,2012-03-08,true,SWAMP,201RDW060,SWAMP
2005-09-13,BMI_RWB_MCM,3,201RDW060_09132005_BMI_RWB_MCM_3,Lumbricina,X,0,10,2012-03-08,true,SWAMP,201RDW060,SWAMP
2005-09-13,BMI_RWB_MCM,3,201RDW060_09132005_BMI_RWB_MCM_3,Empididae,P,0,1,2012-03-08,true,SWAMP,201RDW060,SWAMP
2005-09-13,BMI_RWB_MCM,3,201RDW060_09132005_BMI_RWB_MCM_3,Hygrobates,X,0,2,2012-03-08,true,SWAMP,201RDW060,SWAMP
2005-09-13,BMI_RWB_MCM,3,201RDW060_09132005_BMI_RWB_MCM_3,Brychius,L,0,3,2012-03-08,true,SWAMP,201RDW060,SWAMP
2005-09-13,BMI_RWB_MCM,3,201RDW060_09132005_BMI_RWB_MCM_3,Sialis,L,0,3,2012-03-08,true,SWAMP,201RDW060,SWAMP
2005-09-13,BMI_RWB_MCM,3,201RDW060_09132005_BMI_RWB_MCM_3,Hydroptila,L,0,7,2012-03-08,true,SWAMP,201RDW060,SWAMP
2005-09-13,BMI_RWB_MCM,3,201RDW060_09132005_BMI_RWB_MCM_3,Gyraulus,X,0,44,2012-03-08,true,SWAMP,201RDW060,SWAMP
2005-09-13,BMI_RWB_MCM,3,201RDW060_09132005_BMI_RWB_MCM_3,Hydatophylax hesperus,L,0,1,2012-03-08,true,SWAMP,201RDW060,SWAMP
2005-09-13,BMI_RWB_MCM,3,201RDW060_09132005_BMI_RWB_MCM_3,Sweltsa,L,0,4,2012-03-08,true,SWAMP,201RDW060,SWAMP
2005-09-13,BMI_RWB_MCM,3,201RDW060_09132005_BMI_RWB_MCM_3,Optioservus,A,0,2,2012-03-08,true,SWAMP,201RDW060,SWAMP
2005-09-13,BMI_RWB_MCM,3,201RDW060_09132005_BMI_RWB_MCM_3,Sperchonopsis,X,0,1,2012-03-08,true,SWAMP,201RDW060,SWAMP
2005-09-13,BMI_RWB_MCM,3,201RDW060_09132005_BMI_RWB_MCM_3,Baetis,L,0,2,2012-03-08,true,SWAMP,201RDW060,SWAMP
2005-09-13,BMI_RWB_MCM,3,201RDW060_09132005_BMI_RWB_MCM_3,Brachycera,L,0,1,2012-03-08,true,SWAMP,201RDW060,SWAMP
2005-09-13,BMI_RWB_MCM,3,201RDW060_09132005_BMI_RWB_MCM_3,Despaxia augusta,L,0,1,2012-03-08,true,SWAMP,201RDW060,SWAMP
2005-09-13,BMI_RWB_MCM,3,201RDW060_09132005_BMI_RWB_MCM_3,Gumaga,L,0,29,2012-03-08,true,SWAMP,201RDW060,SWAMP
2005-09-13,BMI_RWB_MCM,3,201RDW060_09132005_BMI_RWB_MCM_3,Calineuria californica,L,0,1,2012-03-08,true,SWAMP,201RDW060,SWAMP
2005-09-13,BMI_RWB_MCM,3,201RDW060_09132005_BMI_RWB_MCM_3,Cinygmula,L,0,2,2012-03-08,true,SWAMP,201RDW060,SWAMP
2005-09-13,BMI_RWB_MCM,3,201RDW060_09132005_BMI_RWB_MCM_3,Prostoma,X,0,5,2012-03-08,true,SWAMP,201RDW060,SWAMP
2005-09-13,BMI_RWB_MCM,3,201RDW060_09132005_BMI_RWB_MCM_3,Paraleptophlebia,L,0,28,2012-03-08,true,SWAMP,201RDW060,SWAMP
2005-09-13,BMI_RWB_MCM,3,201RDW060_09132005_BMI_RWB_MCM_3,Chironomidae,L,0,29,2012-03-08,true,SWAMP,201RDW060,SWAMP
2005-09-13,BMI_RWB_MCM,3,201RDW060_09132005_BMI_RWB_MCM_3,Physa,X,0,1,2012-03-08,true,SWAMP,201RDW060,SWAMP
2005-09-13,BMI_RWB_MCM,3,201RDW060_09132005_BMI_RWB_MCM_3,Oligochaeta,X,0,29,2012-03-08,true,SWAMP,201RDW060,SWAMP
2005-09-13,BMI_RWB_MCM,3,201RDW060_09132005_BMI_RWB_MCM_3,Optioservus,L,0,36,2012-03-08,true,SWAMP,201RDW060,SWAMP
2005-09-13,BMI_RWB_MCM,3,201RDW060_09132005_BMI_RWB_MCM_3,Brychius,A,0,1,2012-03-08,true,SWAMP,201RDW060,SWAMP
2005-09-13,BMI_RWB_MCM,3,201RDW060_09132005_BMI_RWB_MCM_3,Lepidostoma,L,0,79,2012-03-08,true,SWAMP,201RDW060,SWAMP
