"","StationCode","SampleID","FinalID","BAResult","LifeStageCode","Distinct"
"1","Site1","Sample1","Alotanypus",2,"L",1
"2","Site1","Sample1","Apedilum",NA,"L",1
"3","Site1","Sample1","Argia",9,"L",1
"4","Site1","Sample1","Atractides",2,"X",1
"5","Site1","Sample1","Baetis",33,"L",1
"6","Site1","Sample1","Callibaetis",2,"L",1
"7","Site1","Sample1","Cheumatopsyche",2,"L",1
"8","Site1","Sample1","Chironomus",8,"L",1
"9","Site1","Sample1","Cricotopus",48,"L",1
"10","Site1","Sample1","Dicrotendipes",14,"L",1
"11","Site1","Sample1","Eukiefferiella",9,"L",1
"12","Site1","Sample1","Fallceon",5,"L",1
"13","Site1","Sample1","Hydropsyche",5,"L",1
"14","Site1","Sample1","Hydroptila",15,"L",1
"15","Site1","Sample1","Hydroptilidae",3,"P",0
"16","Site1","Sample1","Micrasema",2,"L",1
"17","Site1","Sample1","Microcylloepus",1,"A",1
"18","Site1","Sample1","Microcylloepus",1,"L",0
"19","Site1","Sample1","Neoplasta",1,"L",1
"20","Site1","Sample1","Oligochaeta",79,"X",1
"21","Site1","Sample1","Ostracoda",13,"X",1
"22","Site1","Sample1","Parametriocnemus",4,"L",1
"23","Site1","Sample1","Peltodytes",3,"L",1
"24","Site1","Sample1","Pentaneura",4,"L",1
"25","Site1","Sample1","Physa",9,"X",1
"26","Site1","Sample1","Polypedilum",26,"L",1
"27","Site1","Sample1","Rheocricotopus",14,"L",1
"28","Site1","Sample1","Rheotanytarsus",34,"L",1
"29","Site1","Sample1","Simulium",10,"L",1
"30","Site1","Sample1","Sperchon",6,"X",1
"31","Site1","Sample1","Stictotarsus",2,"L",0
"32","Site1","Sample1","Stictotarsus striatellus",1,"A",1
"33","Site1","Sample1","Tanytarsus",101,"L",1
"34","Site1","Sample1","Thienemanniella",4,"L",1
"35","Site1","Sample1","Tinodes",4,"L",1
"36","Site1","Sample1","Tricorythodes",74,"L",1
"37","Site1","Sample1","Turbellaria",1,"X",1
"38","Site1","Sample1","Zaitzevia",1,"A",1
"39","Site2","Sample2","Apsectrotanypus",6,"L",0
"40","Site2","Sample2","Atractides",15,"X",0
"41","Site2","Sample2","Baetis",1,"L",0
"42","Site2","Sample2","Bezzia/ Palpomyia",11,"L",0
"43","Site2","Sample2","Callibaetis",1,"L",0
"44","Site2","Sample2","Capniidae",1,"L",0
