"","StationCode","SampleID","FinalID","LifeStageCode","Distinct"
"1","Site1","Sample1","Alotanypus","L",1
"2","Site1","Sample1","Apedilum","L",1
"3","Site1","Sample1","Argia","L",1
"4","Site1","Sample1","Atractides","X",1
"5","Site1","Sample1","Baetis","L",1
"6","Site1","Sample1","Callibaetis","L",1
"7","Site1","Sample1","Cheumatopsyche","L",1
"8","Site1","Sample1","Chironomus","L",1
"9","Site1","Sample1","Cricotopus","L",1
"10","Site1","Sample1","Dicrotendipes","L",1
"11","Site1","Sample1","Eukiefferiella","L",1
"12","Site1","Sample1","Fallceon","L",1
"13","Site1","Sample1","Hydropsyche","L",1
"14","Site1","Sample1","Hydroptila","L",1
"15","Site1","Sample1","Hydroptilidae","P",0
"16","Site1","Sample1","Micrasema","L",1
"17","Site1","Sample1","Microcylloepus","A",1
"18","Site1","Sample1","Microcylloepus","L",0
"19","Site1","Sample1","Neoplasta","L",1
"20","Site1","Sample1","Oligochaeta","X",1
"21","Site1","Sample1","Ostracoda","X",1
"22","Site1","Sample1","Parametriocnemus","L",1
"23","Site1","Sample1","Peltodytes","L",1
"24","Site1","Sample1","Pentaneura","L",1
"25","Site1","Sample1","Physa","X",1
"26","Site1","Sample1","Polypedilum","L",1
"27","Site1","Sample1","Rheocricotopus","L",1
"28","Site1","Sample1","Rheotanytarsus","L",1
"29","Site1","Sample1","Simulium","L",1
"30","Site1","Sample1","Sperchon","X",1
"31","Site1","Sample1","Stictotarsus","L",0
"32","Site1","Sample1","Stictotarsus striatellus","A",1
"33","Site1","Sample1","Tanytarsus","L",1
"34","Site1","Sample1","Thienemanniella","L",1
"35","Site1","Sample1","Tinodes","L",1
"36","Site1","Sample1","Tricorythodes","L",1
"37","Site1","Sample1","Turbellaria","X",1
"38","Site1","Sample1","Zaitzevia","A",1
"39","Site2","Sample2","Apsectrotanypus","L",0
"40","Site2","Sample2","Atractides","X",0
"41","Site2","Sample2","Baetis","L",0
"42","Site2","Sample2","Bezzia/ Palpomyia","L",0
"43","Site2","Sample2","Callibaetis","L",0
"44","Site2","Sample2","Capniidae","L",0
"45","Site2","Sample2","Ephemerella aurivillii","L",0
"46","Site2","Sample2","Hexatoma","L",0
"47","Site2","Sample2","Hydra","X",0
"48","Site2","Sample2","Lara avara","A",0
"49","Site2","Sample2","Lebertia","X",0
"50","Site2","Sample2","Limnophila","L",0
"51","Site2","Sample2","Micrasema","L",0
"52","Site2","Sample2","Micropsectra","L",0
"53","Site2","Sample2","Monodiamesa","L",0
"54","Site2","Sample2","Nanocladius","L",0
"55","Site2","Sample2","Odontomesa","L",0
"56","Site2","Sample2","Oligochaeta","X",0
"57","Site2","Sample2","Orthocladius complex","L",0
"58","Site2","Sample2","Parakiefferiella","L",0
"59","Site2","Sample2","Paraleptophlebia","L",0
