StationID,EohaustoriusCategory,EohaustoriusScore,MytilusCategory,MytilusScore,IntegratedToxLOE,IntegratedToxScore,TargetLatitude,TargetLongitude,B13_Stratum,CompressedStratum,Region,AW_Apod_Tox,AW_Mussel_Tox
B13-8017,Nontoxic,1,Nontoxic,1,Nontoxic,1,32.631911,-117.130957,Bay,Bay,San Diego Bay,3.216436228,3.216436228
B13-8020,Nontoxic,1,Nontoxic,1,Nontoxic,1,32.641832,-117.131229,Bay,Bay,San Diego Bay,3.216436228,3.216436228
B13-8029,Nontoxic,1,Nontoxic,1,Nontoxic,1,32.6468,-117.1178,Bay,Bay,San Diego Bay,0.200865713,0.200865713
B13-8052,Nontoxic,1,Nontoxic,1,Nontoxic,1,32.65828,-117.14434,Bay,Bay,San Diego Bay,3.216436228,3.216436228
B13-8058,Nontoxic,1,Nontoxic,1,Nontoxic,1,32.661056,-117.143999,Bay,Bay,San Diego Bay,3.216436228,3.216436228
B13-8060,Nontoxic,1,Nontoxic,1,Nontoxic,1,32.66493,-117.14993,Bay,Bay,San Diego Bay,3.216436228,3.216436228
B13-8068,Nontoxic,1,Nontoxic,1,Nontoxic,1,32.67537,-117.14385,Bay,Bay,San Diego Bay,2.410202613,2.410202613
B13-8078,Nontoxic,1,Nontoxic,1,Nontoxic,1,32.686838,-117.148392,Bay,Bay,San Diego Bay,2.410202613,2.410202613
B13-8093,Nontoxic,1,Nontoxic,1,Nontoxic,1,32.695622,-117.162623,Bay,Bay,San Diego Bay,2.410202613,2.410202613
B13-8105,Nontoxic,1,Nontoxic,1,Nontoxic,1,32.712338,-117.213324,Bay,Bay,San Diego Bay,3.216436228,3.216436228
B13-8109,Nontoxic,1,Nontoxic,1,Nontoxic,1,32.71504,-117.18308,Bay,Bay,San Diego Bay,2.410202613,2.410202613
B13-8118,Nontoxic,1,Nontoxic,1,Nontoxic,1,32.719794,-117.178628,Bay,Bay,San Diego Bay,2.410202613,2.410202613
B13-8122,Nontoxic,1,Nontoxic,1,Nontoxic,1,32.72427,-117.18276,Bay,Bay,San Diego Bay,2.410202613,2.410202613
B13-8152,Nontoxic,1,Nontoxic,1,Nontoxic,1,32.76749,-117.2416,Bay,Bay,Mission Bay,0.573195602,0.573195602
B13-8157,Nontoxic,1,Nontoxic,1,Nontoxic,1,32.782822,-117.229979,Bay,Bay,Mission Bay,3.24468756,3.24468756
B13-8159,Nontoxic,1,Nontoxic,1,Nontoxic,1,32.78439,-117.2155,Bay,Bay,Mission Bay,3.24468756,3.24468756
B13-8302,Low Toxicity,2,Nontoxic,1,Low Toxicity,2,33.71205,-118.25789,Bay,Bay,Los Angeles/Long Beach,2.003123859,2.003123859
B13-8304,Nontoxic,1,Nontoxic,1,Nontoxic,1,33.71351,-118.24162,Bay,Bay,Los Angeles/Long Beach,2.003123859,2.003123859
B13-8306,Low Toxicity,2,Nontoxic,1,Low Toxicity,2,33.714643,-118.28328,Bay,Bay,Los Angeles/Long Beach,2.003123859,2.003123859
B13-8315,High Toxicity,4,Nontoxic,1,Moderate Toxicity,3,33.723776,-118.152675,Bay,Bay,Los Angeles/Long Beach,2.003123859,2.003123859
B13-8318,Nontoxic,1,Nontoxic,1,Nontoxic,1,33.72421,-118.22423,Bay,Bay,Los Angeles/Long Beach,2.003123859,2.003123859
B13-8319,Nontoxic,1,Nontoxic,1,Nontoxic,1,33.725599,-118.137381,Bay,Bay,Los Angeles/Long Beach,2.003123859,2.003123859
B13-8322,Low Toxicity,2,Nontoxic,1,Low Toxicity,2,33.727575,-118.212945,Bay,Bay,Los Angeles/Long Beach,2.003123859,2.003123859
B13-8325,Nontoxic,1,Nontoxic,1,Nontoxic,1,33.72857,-118.15722,Bay,Bay,Los Angeles/Long Beach,2.003123859,2.003123859
B13-8346,Nontoxic,1,Nontoxic,1,Nontoxic,1,33.738889,-118.144527,Bay,Bay,Los Angeles/Long Beach,2.003123859,2.003123859
B13-8350,High Toxicity,4,Low Toxicity,2,Moderate Toxicity,3,33.73992,-118.17122,Bay,Bay,Los Angeles/Long Beach,2.003123859,2.003123859
B13-8351,Nontoxic,1,Nontoxic,1,Nontoxic,1,33.740201,-118.159117,Bay,Bay,Los Angeles/Long Beach,2.003123859,2.003123859
