X,Y,objectid,stationid,latitude,longitude,stationwaterdepth,stationwaterdepthunits,areaweight,stratum,lab,sampletypecode,sampletypedesc,toxbatch,species,concentration,endpoint,units,statisticaltest,controlvalue,mean,n,stddev,pctcontrol,sigeffect,qacode,qadescription,sqocategory,comment
-118.20169,33.76074,1,B13-8390,33.76074,-118.20169,9,Ft,0.32759147,Estuaries,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD5X,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,98,89,5,2.23606798,90.81632653,SC,A,Acceptable data for analysis,Low Toxicity,
-118.14465,33.739,2,B13-8346,33.739,-118.14465,10,M,2.00312386,Bay,Los Angeles County Sanitation Districts,Grab,Single sample,EohSed719,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,94,94,5,4.18330013,100,NSC,AJ,Acceptable data for analysis; Minor deviation in test conditions,Nontoxic,
-118.27747,33.7662,3,B13-8396,33.7662,-118.27747,15,M,0.95519702,Port,Nautilus Environmental,Grab,Single sample,1307-S159 to S165,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,98,91,5,6.51920241,92.85714286,SC,A,Acceptable data for analysis,Nontoxic,
-118.103714,33.766034,4,B13-8394,33.766034,-118.103714,9,Ft,0.32759147,Estuaries,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD3A,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,95,78,5,5.70087713,82.10526316,SC,A,Acceptable data for analysis,Low Toxicity,
-118.20478,33.76273,5,B13-8391,33.76273,-118.20478,20,Ft,0.32759147,Estuaries,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD5X,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,98,51,5,6.51920241,52.04081633,SC,A,Acceptable data for analysis,High Toxicity,
-118.157,33.728683,6,B13-8325,33.728683,-118.157,14,M,2.00312386,Bay,Los Angeles County Sanitation Districts,Grab,Single sample,EohSed719,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,94,96,5,2.23606798,102.1276596,NSC,AJ,Acceptable data for analysis; Minor deviation in test conditions,Nontoxic,
-118.171317,33.7398,7,B13-8350,33.7398,-118.171317,12,M,2.00312386,Bay,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD2A,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,98,47,5,5.70087713,47.95918367,SC,AE,Acceptable data for analysis; Sample stored > 14 days,High Toxicity,
-118.21039,33.73891,8,B13-8347,33.73891,-118.21039,27,M,0.95519702,Port,Nautilus Environmental,Grab,Single sample,1307-S070 to S076,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,98,85,5,10.60660172,86.73469388,SC,A,Acceptable data for analysis,Low Toxicity,
-118.446967,33.975617,9,B13-8413,33.975617,-118.446967,4,M,0.63701536,Marina,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD6X,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,96,89,5,7.41619849,92.70833333,NSC,AE,Acceptable data for analysis; Sample stored > 14 days,Nontoxic,
-118.27676,33.73549,10,B13-8340,33.73549,-118.27676,18,M,0.95519702,Port,Nautilus Environmental,Grab,Single sample,1307-S166 to S173,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,99,87,5,4.47213596,87.87878788,SC,A,Acceptable data for analysis,Low Toxicity,
